Player name,Known as,player_id,position,nationality,team,Fifa 10 Potential rating,Fifa 10 overall_rating,Fifa 10 age,Fifa 11 overall_rating,Fifa 11 age,Fifa 12 overall_rating,Fifa 12 age,Fifa 13 overall_rating,Fifa 13 age,Fifa 14 overall_rating,Fifa 14 age,Fifa 15 overall_rating,Fifa 15 age,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age,Fifa 10 outcome,Year potential reached
Lionel Messi,L. Messi,158023,['RW'],Argentina,FC Barcelona,95,90,22,90.0,23.0,94.0,24.0,94.0,25.0,94.0,26.0,93.0,27.0,94.0,28.0,93.0,29.0,93.0,30.0,94.0,31.0,94.0,32.0,93.0,33.0,93.0,34.0,lived to expectations,2.0
Alexandre Pato,Alexandre Pato,180175,['CF'],Brazil,AC Milan,92,84,19,83.0,20.0,85.0,21.0,83.0,22.0,80.0,23.0,,,,,80.0,26.0,,,80.0,28.0,,,,,75.0,31.0,did not hit their potential,
Bojan,Bojan,176993,['CF'],Spain,FC Barcelona,92,79,18,79.0,19.0,78.0,20.0,76.0,21.0,79.0,22.0,77.0,23.0,81.0,24.0,82.0,25.0,79.0,26.0,75.0,27.0,74.0,28.0,73.0,29.0,71.0,30.0,did not hit their potential,
Hugo Lloris,H. Lloris,167948,['GK'],France,Olympique Lyonnais,92,83,22,84.0,23.0,85.0,24.0,86.0,25.0,84.0,26.0,85.0,27.0,84.0,28.0,88.0,29.0,88.0,30.0,88.0,31.0,88.0,32.0,87.0,33.0,87.0,34.0,did not hit their potential,
Yoann Gourcuff,Y. Gourcuff,153296,['CAM'],France,FC Girondins de Bordeaux,92,85,22,83.0,23.0,81.0,24.0,79.0,25.0,79.0,26.0,77.0,27.0,,,78.0,29.0,79.0,30.0,75.0,31.0,,,,,,,did not hit their potential,
Jesus Navas,Jesús Navas,146536,['RM'],Spain,Sevilla FC,92,83,23,84.0,24.0,84.0,25.0,85.0,26.0,85.0,27.0,83.0,28.0,81.0,29.0,80.0,30.0,78.0,31.0,78.0,32.0,82.0,33.0,84.0,34.0,84.0,35.0,did not hit their potential,
Keirrison,Keirrison,187515,['ST'],Brazil,SL Benfica,91,78,20,76.0,21.0,74.0,22.0,70.0,23.0,71.0,24.0,,,,,70.0,27.0,,,,,,,,,,,did not hit their potential,
Eden Hazard,E. Hazard,183277,['RW'],Belgium,LOSC Lille,91,77,18,81.0,19.0,85.0,20.0,87.0,21.0,85.0,22.0,88.0,23.0,89.0,24.0,88.0,25.0,90.0,26.0,91.0,27.0,91.0,28.0,88.0,29.0,85.0,30.0,lived to expectations,8.0
Guilherme,Guilherme,181376,['ST'],Brazil,PFC CSKA Moscow,91,77,20,,,76.0,22.0,76.0,23.0,73.0,24.0,,,73.0,26.0,,,,,,,,,,,,,did not hit their potential,
Karim Benzema,K. Benzema,165153,['ST'],France,Real Madrid CF,91,85,21,83.0,22.0,84.0,23.0,87.0,24.0,85.0,25.0,85.0,26.0,86.0,27.0,87.0,28.0,86.0,29.0,84.0,30.0,87.0,31.0,89.0,32.0,89.0,33.0,did not hit their potential,
Francesc Fabregas,F. Fabregas,162895,['CM'],Spain,Arsenal,91,87,22,86.0,23.0,88.0,24.0,87.0,25.0,86.0,26.0,84.0,27.0,87.0,28.0,86.0,29.0,86.0,30.0,84.0,31.0,81.0,32.0,75.0,33.0,76.0,34.0,did not hit their potential,
Sergio Ramos,Sergio Ramos,155862,['RB'],Spain,Real Madrid CF,91,85,23,85.0,24.0,85.0,25.0,87.0,26.0,86.0,27.0,87.0,28.0,87.0,29.0,89.0,30.0,90.0,31.0,91.0,32.0,89.0,33.0,89.0,34.0,88.0,35.0,lived to expectations,8.0
Mauro Matias Zarate,M. Zárate,153177,['RF'],Argentina,Lazio,91,84,22,79.0,23.0,80.0,24.0,77.0,25.0,75.0,26.0,77.0,27.0,76.0,28.0,77.0,29.0,77.0,30.0,77.0,31.0,78.0,32.0,76.0,33.0,,,did not hit their potential,
Wayne Rooney,W. Rooney,54050,['CF'],England,Manchester United,91,87,23,88.0,24.0,90.0,25.0,89.0,26.0,87.0,27.0,86.0,28.0,86.0,29.0,84.0,30.0,81.0,31.0,80.0,32.0,80.0,33.0,77.0,34.0,,,lived to expectations,2.0
Jack Wilshere,J. Wilshere,189461,['CAM'],England,Arsenal,90,73,17,75.0,18.0,82.0,19.0,82.0,20.0,82.0,21.0,81.0,22.0,81.0,23.0,82.0,24.0,81.0,25.0,80.0,26.0,79.0,27.0,76.0,28.0,,,did not hit their potential,
Alan Dzagoev,A. Dzagoev,187735,['CAM'],Russia,PFC CSKA Moscow,90,78,19,79.0,20.0,79.0,21.0,80.0,22.0,79.0,23.0,79.0,24.0,79.0,25.0,81.0,26.0,80.0,27.0,80.0,28.0,77.0,29.0,76.0,30.0,76.0,31.0,did not hit their potential,
Franco Matias Di Santo,F. di Santo,186405,['ST'],Argentina,Blackburn Rovers,90,72,20,74.0,21.0,70.0,22.0,72.0,23.0,72.0,24.0,75.0,25.0,79.0,26.0,77.0,27.0,75.0,28.0,76.0,29.0,,,71.0,31.0,72.0,32.0,did not hit their potential,
Luka Modric,L. Modrić,177003,['CAM'],Croatia,Tottenham Hotspur,90,82,23,83.0,24.0,88.0,25.0,86.0,26.0,85.0,27.0,87.0,28.0,87.0,29.0,89.0,30.0,89.0,31.0,91.0,32.0,90.0,33.0,87.0,34.0,87.0,35.0,lived to expectations,7.0
David Silva,David Silva,168542,['LM'],Spain,Valencia CF,90,86,23,85.0,24.0,87.0,25.0,88.0,26.0,88.0,27.0,87.0,28.0,88.0,29.0,87.0,30.0,87.0,31.0,89.0,32.0,88.0,33.0,86.0,34.0,85.0,35.0,lived to expectations,9.0
Manuel Neuer,M. Neuer,167495,['GK'],Germany,FC Schalke 04,90,83,23,85.0,24.0,86.0,25.0,87.0,26.0,86.0,27.0,90.0,28.0,90.0,29.0,92.0,30.0,92.0,31.0,90.0,32.0,88.0,33.0,89.0,34.0,90.0,35.0,exceeded their potential,5.0
Samir Nasri,S. Nasri,165239,['CAM'],France,Arsenal,90,83,22,84.0,23.0,86.0,24.0,85.0,25.0,84.0,26.0,84.0,27.0,83.0,28.0,82.0,29.0,82.0,30.0,,,78.0,32.0,,,,,did not hit their potential,
Sergio Aguero,S. Agüero,153079,['CF'],Argentina,Atlético de Madrid,90,84,21,84.0,22.0,86.0,23.0,87.0,24.0,88.0,25.0,86.0,26.0,87.0,27.0,89.0,28.0,89.0,29.0,89.0,30.0,89.0,31.0,89.0,32.0,87.0,33.0,lived to expectations,7.0
Mario Gomez,M. Gomez,150418,['ST'],Germany,FC Bayern München,90,85,23,83.0,24.0,86.0,25.0,87.0,26.0,86.0,27.0,82.0,28.0,78.0,29.0,82.0,30.0,82.0,31.0,81.0,32.0,76.0,33.0,,,,,did not hit their potential,
Igor Akinfeev,I. Akinfeev,148119,['GK'],Russia,PFC CSKA Moscow,90,85,23,84.0,24.0,84.0,25.0,84.0,26.0,84.0,27.0,83.0,28.0,81.0,29.0,80.0,30.0,79.0,31.0,80.0,32.0,80.0,33.0,80.0,34.0,80.0,35.0,did not hit their potential,
Rafael,Rafael,189681,['RWB'],Brazil,Manchester United,89,76,18,77.0,19.0,76.0,20.0,77.0,21.0,77.0,22.0,77.0,23.0,77.0,24.0,78.0,25.0,79.0,26.0,79.0,27.0,78.0,28.0,77.0,29.0,76.0,30.0,did not hit their potential,
Hulk,Hulk,189362,['CF'],Brazil,FC Porto,89,83,22,83.0,23.0,85.0,24.0,84.0,25.0,84.0,26.0,83.0,27.0,84.0,28.0,86.0,29.0,,,81.0,31.0,80.0,32.0,80.0,33.0,,,did not hit their potential,
James Mccarthy,J. McCarthy,188253,['CAM'],Republic of Ireland,Wigan Athletic,89,71,18,73.0,19.0,75.0,20.0,74.0,21.0,75.0,22.0,79.0,23.0,80.0,24.0,81.0,25.0,80.0,26.0,78.0,27.0,75.0,28.0,76.0,29.0,74.0,30.0,did not hit their potential,
Edin Dzeko,E. Džeko,180930,['ST'],Bosnia and Herzegovina,VfL Wolfsburg,89,83,23,85.0,24.0,84.0,25.0,83.0,26.0,83.0,27.0,83.0,28.0,81.0,29.0,80.0,30.0,84.0,31.0,85.0,32.0,84.0,33.0,83.0,34.0,83.0,35.0,did not hit their potential,
Welliton,Welliton,176927,['ST'],Brazil,Spartak Moskva,89,80,22,82.0,23.0,83.0,24.0,81.0,25.0,76.0,26.0,70.0,27.0,72.0,28.0,73.0,29.0,,,,,,,,,,,did not hit their potential,
Guardado,Guardado,171897,['LW'],Mexico,Deportivo de La Coruña,89,81,22,81.0,23.0,77.0,24.0,82.0,25.0,81.0,26.0,77.0,27.0,80.0,28.0,82.0,29.0,80.0,30.0,82.0,31.0,81.0,32.0,78.0,33.0,78.0,34.0,did not hit their potential,
Micah Richards,M. Richards,169721,['RB'],England,Manchester City,89,76,21,79.0,22.0,80.0,23.0,80.0,24.0,79.0,25.0,77.0,26.0,79.0,27.0,77.0,28.0,74.0,29.0,69.0,30.0,,,,,,,did not hit their potential,
Anderson,Anderson,167963,['CM'],Brazil,Manchester United,89,80,21,78.0,22.0,77.0,23.0,77.0,24.0,77.0,25.0,73.0,26.0,73.0,27.0,,,,,,,,,,,,,did not hit their potential,
Arda Turan,A. Turan,143745,['LM'],Turkey,Galatasaray SK,89,81,22,82.0,23.0,83.0,24.0,84.0,25.0,84.0,26.0,84.0,27.0,83.0,28.0,84.0,29.0,82.0,30.0,78.0,31.0,76.0,32.0,74.0,33.0,71.0,34.0,did not hit their potential,
Javier Pastore,J. Pastore,191180,['CAM'],Argentina,Palermo,88,76,20,80.0,21.0,83.0,22.0,83.0,23.0,79.0,24.0,79.0,25.0,84.0,26.0,85.0,27.0,83.0,28.0,82.0,29.0,79.0,30.0,77.0,31.0,78.0,32.0,did not hit their potential,
Franco Zuculini,F. Zuculini,190575,['CM'],Argentina,TSG Hoffenheim,88,74,18,73.0,19.0,71.0,20.0,70.0,21.0,,,69.0,23.0,73.0,24.0,72.0,25.0,70.0,26.0,70.0,27.0,70.0,28.0,,,,,did not hit their potential,
