Player name,Known as,player_id,position,nationality,team,Fifa 11 Potential rating,Fifa 11 overall_rating,Fifa 11 age,Fifa 12 overall_rating,Fifa 12 age,Fifa 13 overall_rating,Fifa 13 age,Fifa 14 overall_rating,Fifa 14 age,Fifa 15 overall_rating,Fifa 15 age,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age,Fifa 11 outcome,Year potential reached
Lionel Messi,L. Messi,158023,"['RW', 'RF', 'ST', 'CAM']",Argentina,FC Barcelona,95,90,23,94.0,24.0,94.0,25.0,94.0,26.0,93.0,27.0,94.0,28.0,93.0,29.0,93.0,30.0,94.0,31.0,94.0,32.0,93.0,33.0,93.0,34.0,lived to expectations,1.0
Hugo Lloris,H. Lloris,167948,['GK'],France,Olympique Lyonnais,92,84,23,85.0,24.0,86.0,25.0,84.0,26.0,85.0,27.0,84.0,28.0,88.0,29.0,88.0,30.0,88.0,31.0,88.0,32.0,87.0,33.0,87.0,34.0,did not hit their potential,
Eden Hazard,E. Hazard,183277,"['RW', 'LW', 'CF', 'RM']",Belgium,LOSC Lille,91,81,19,85.0,20.0,87.0,21.0,85.0,22.0,88.0,23.0,89.0,24.0,88.0,25.0,90.0,26.0,91.0,27.0,91.0,28.0,88.0,29.0,85.0,30.0,lived to expectations,7.0
Aly Cissokho,A. Cissokho,181455,"['LB', 'LWB', 'LM']",France,Olympique Lyonnais,91,78,22,77.0,23.0,76.0,24.0,75.0,25.0,74.0,26.0,74.0,27.0,72.0,28.0,71.0,29.0,70.0,30.0,70.0,31.0,,,,,did not hit their potential,
Alexandre Rodrigues Da Silva,Alexandre Pato,180175,"['CF', 'ST', 'RF', 'LF']",Brazil,AC Milan,91,83,20,85.0,21.0,83.0,22.0,80.0,23.0,,,,,80.0,26.0,,,80.0,28.0,,,,,75.0,31.0,did not hit their potential,
Francesc Fabregas,F. Fabregas,162895,"['CM', 'CAM']",Spain,Arsenal,91,86,23,88.0,24.0,87.0,25.0,86.0,26.0,84.0,27.0,87.0,28.0,86.0,29.0,86.0,30.0,84.0,31.0,81.0,32.0,75.0,33.0,76.0,34.0,did not hit their potential,
Franco Di Santo,F. di Santo,186405,"['ST', 'CF']",Argentina,Wigan Athletic,90,74,21,70.0,22.0,72.0,23.0,72.0,24.0,75.0,25.0,79.0,26.0,77.0,27.0,75.0,28.0,76.0,29.0,,,71.0,31.0,72.0,32.0,did not hit their potential,
Sotiris Ninis,S. Ninis,181460,"['CAM', 'RM', 'RW']",Greece,Greece,90,77,20,75.0,21.0,75.0,22.0,73.0,23.0,,,74.0,25.0,73.0,26.0,69.0,27.0,,,,,,,,,did not hit their potential,
Samir Nasri,S. Nasri,165239,"['CAM', 'CM', 'RW', 'RM']",France,Arsenal,90,84,23,86.0,24.0,85.0,25.0,84.0,26.0,84.0,27.0,83.0,28.0,82.0,29.0,82.0,30.0,,,78.0,32.0,,,,,did not hit their potential,
Sergio Aguero,S. Agüero,153079,"['CF', 'ST']",Argentina,Atlético de Madrid,90,84,22,86.0,23.0,87.0,24.0,88.0,25.0,86.0,26.0,87.0,27.0,89.0,28.0,89.0,29.0,89.0,30.0,89.0,31.0,89.0,32.0,87.0,33.0,lived to expectations,6.0
