Player name,Known as,player_id,position,nationality,team,Fifa 12 Potential rating,Fifa 12 overall_rating,Fifa 12 age,Fifa 13 overall_rating,Fifa 13 age,Fifa 14 overall_rating,Fifa 14 age,Fifa 15 overall_rating,Fifa 15 age,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age,Fifa 12 outcome,Year potential reached
Neymar da Silva Santos Júnior,Neymar,190871,"['CF', 'ST', 'LW']",Brazil,Santos,91,84,19,85.0,20.0,84.0,21.0,86.0,22.0,88.0,23.0,92.0,24.0,92.0,25.0,92.0,26.0,92.0,27.0,91.0,28.0,91.0,29.0,lived to expectations,5.0
Lucas Rodrigues Moura da Silva,Lucas,200949,"['CAM', 'RW']",Brazil,São Paulo,90,82,18,82.0,19.0,82.0,20.0,82.0,21.0,82.0,22.0,82.0,23.0,82.0,24.0,82.0,25.0,83.0,26.0,83.0,27.0,81.0,28.0,did not hit their potential,
Christian Dannemann Eriksen,C. Eriksen,190460,"['CAM', 'CM']",Denmark,Ajax,90,80,19,80.0,20.0,82.0,21.0,83.0,22.0,83.0,23.0,84.0,24.0,87.0,25.0,88.0,26.0,88.0,27.0,85.0,28.0,82.0,29.0,did not hit their potential,
Jack Wilshere,J. Wilshere,189461,"['CM', 'CDM', 'CAM', 'LM']",England,Arsenal,90,82,19,82.0,20.0,82.0,21.0,81.0,22.0,81.0,23.0,82.0,24.0,81.0,25.0,80.0,26.0,79.0,27.0,76.0,28.0,,,did not hit their potential,
Alexandre Rodrigues da Silva,Alexandre Pato,180175,"['ST', 'CF']",Brazil,AC Milan,90,85,21,83.0,22.0,80.0,23.0,,,,,80.0,26.0,,,80.0,28.0,,,,,75.0,31.0,did not hit their potential,
Gareth Frank Bale,G. Bale,173731,"['LM', 'LW', 'LB']",Wales,Tottenham Hotspur,90,86,21,85.0,22.0,87.0,23.0,87.0,24.0,87.0,25.0,90.0,26.0,89.0,27.0,88.0,28.0,85.0,29.0,83.0,30.0,82.0,31.0,lived to expectations,5.0
Roderick Jefferson Gonçalves Miranda,Roderick Miranda,193143,"['CB', 'CDM']",Portugal,Servette FC,89,65,20,69.0,21.0,68.0,22.0,68.0,23.0,69.0,24.0,70.0,25.0,72.0,26.0,71.0,27.0,70.0,28.0,69.0,29.0,69.0,30.0,did not hit their potential,
Mario Götze,M. Götze,192318,"['CAM', 'LM', 'RM']",Germany,Borussia Dortmund,89,84,18,84.0,20.0,85.0,21.0,85.0,22.0,84.0,23.0,84.0,24.0,81.0,25.0,82.0,26.0,82.0,27.0,,,82.0,29.0,did not hit their potential,
Javier Matías Pastore,J. Pastore,191180,"['CAM', 'CF', 'CM']",Argentina,Paris Saint-Germain,89,83,22,83.0,23.0,79.0,24.0,79.0,25.0,84.0,26.0,85.0,27.0,83.0,28.0,82.0,29.0,79.0,30.0,77.0,31.0,78.0,32.0,did not hit their potential,
Pedro Eliezer Rodríguez Ledesma,Pedro,189505,"['LW', 'RW']",Spain,FC Barcelona,89,85,23,84.0,24.0,85.0,25.0,83.0,26.0,83.0,27.0,83.0,28.0,84.0,29.0,82.0,30.0,82.0,31.0,,,78.0,33.0,did not hit their potential,
Eden Michael Hazard,E. Hazard,183277,"['LW', 'RW', 'CF', 'RM']",Belgium,LOSC Lille,89,85,20,87.0,21.0,85.0,22.0,88.0,23.0,89.0,24.0,88.0,25.0,90.0,26.0,91.0,27.0,91.0,28.0,88.0,29.0,85.0,30.0,exceeded their potential,3.0
Frederik Hillersborg Sørensen,F. Sørensen,201342,"['CB', 'RB']",Denmark,Juventus,88,74,19,72.0,20.0,73.0,21.0,71.0,22.0,74.0,23.0,75.0,24.0,77.0,25.0,74.0,26.0,72.0,27.0,71.0,28.0,,,did not hit their potential,
Juan Manuel Iturbe Arévalo,J. Iturbe,199151,"['RW', 'CAM', 'LW', 'CF']",Argentina,FC Porto,88,74,18,74.0,19.0,74.0,20.0,77.0,21.0,77.0,22.0,77.0,23.0,76.0,24.0,76.0,25.0,72.0,26.0,72.0,27.0,,,did not hit their potential,
Romelu Lukaku Menama,R. Lukaku,192505,['ST'],Belgium,Chelsea,88,78,18,74.0,19.0,77.0,20.0,80.0,21.0,80.0,22.0,84.0,23.0,86.0,24.0,87.0,25.0,85.0,26.0,85.0,27.0,88.0,28.0,lived to expectations,7.0
Mario Barwuah Balotelli,M. Balotelli,186627,"['ST', 'CF']",Italy,Manchester City,88,81,20,84.0,21.0,84.0,22.0,82.0,23.0,80.0,24.0,79.0,25.0,82.0,26.0,83.0,27.0,82.0,28.0,79.0,29.0,76.0,30.0,did not hit their potential,
Alexis Alejandro Sánchez Sánchez,A. Sánchez,184941,"['RW', 'LW', 'CF', 'CAM']",Chile,FC Barcelona,88,86,22,85.0,23.0,82.0,24.0,84.0,25.0,86.0,26.0,87.0,27.0,89.0,28.0,87.0,29.0,82.0,30.0,80.0,31.0,80.0,32.0,lived to expectations,5.0
Mats Hummels,M. Hummels,178603,"['CB', 'CDM']",Germany,Borussia Dortmund,88,84,22,85.0,23.0,85.0,24.0,86.0,25.0,86.0,26.0,87.0,27.0,88.0,28.0,89.0,29.0,87.0,30.0,86.0,31.0,86.0,32.0,lived to expectations,5.0
