Player name,Known as,player_id,position,nationality,team,Fifa 13 Potential rating,Fifa 13 overall_rating,Fifa 13 age,Fifa 14 overall_rating,Fifa 14 age,Fifa 15 overall_rating,Fifa 15 age,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age,Fifa 13 outcome,Year potential reached
Eden Hazard,E. Hazard,183277,"['LW', 'RW', 'CF', 'LM']",Belgium,Chelsea,92,87,21,85.0,22.0,88.0,23.0,89.0,24.0,88.0,25.0,90.0,26.0,91.0,27.0,91.0,28.0,88.0,29.0,85.0,30.0,lived to expectations,6.0
Mario Gotze,M. Götze,192318,"['CAM', 'LM', 'RM', 'CM']",Germany,Borussia Dortmund,91,84,20,85.0,21.0,85.0,22.0,84.0,23.0,84.0,24.0,81.0,25.0,82.0,26.0,82.0,27.0,,,82.0,29.0,did not hit their potential,
Neymar Da Silva Santos Jr,Neymar,190871,"['LW', 'CF', 'ST']",Brazil,Santos,91,85,20,84.0,21.0,86.0,22.0,88.0,23.0,92.0,24.0,92.0,25.0,92.0,26.0,92.0,27.0,91.0,28.0,91.0,29.0,lived to expectations,4.0
Lucas Rodrigues M Silva,Lucas,200949,"['CAM', 'RW', 'CF']",Brazil,São Paulo,90,82,19,82.0,20.0,82.0,21.0,82.0,22.0,82.0,23.0,82.0,24.0,82.0,25.0,83.0,26.0,83.0,27.0,81.0,28.0,did not hit their potential,
Jack Wilshere,J. Wilshere,189461,"['CM', 'CDM', 'CAM']",England,Arsenal,90,82,20,82.0,21.0,81.0,22.0,81.0,23.0,82.0,24.0,81.0,25.0,80.0,26.0,79.0,27.0,76.0,28.0,,,did not hit their potential,
Stevan Jovetic,S. Jovetić,181820,"['ST', 'CF', 'CAM']",Montenegro,Fiorentina,90,83,22,84.0,23.0,81.0,24.0,81.0,25.0,81.0,26.0,81.0,27.0,80.0,28.0,78.0,29.0,77.0,30.0,77.0,31.0,did not hit their potential,
Alexandre Rodrigues Da Silva,Alexandre Pato,180175,"['ST', 'CF']",Brazil,AC Milan,90,83,22,80.0,23.0,,,,,80.0,26.0,,,80.0,28.0,,,,,75.0,31.0,did not hit their potential,
Gareth Bale,G. Bale,173731,"['LM', 'LB']",Wales,Tottenham Hotspur,90,85,22,87.0,23.0,87.0,24.0,87.0,25.0,90.0,26.0,89.0,27.0,88.0,28.0,85.0,29.0,83.0,30.0,82.0,31.0,lived to expectations,4.0
James Rodriguez,J. Rodríguez,198710,"['LW', 'CAM', 'RW', 'LM']",Colombia,FC Porto,89,83,20,83.0,21.0,86.0,22.0,87.0,23.0,87.0,24.0,86.0,25.0,88.0,26.0,85.0,27.0,82.0,28.0,81.0,29.0,lived to expectations,6.0
Marc Andre Ter Stegen,M. ter Stegen,192448,['GK'],Germany,Borussia Mönchengladbach,89,80,20,80.0,21.0,82.0,22.0,82.0,23.0,83.0,24.0,85.0,25.0,89.0,26.0,90.0,27.0,90.0,28.0,90.0,29.0,lived to expectations,6.0
Stephan El Shaarawy,S. El Shaarawy,190813,"['CF', 'LW', 'CAM', 'LM']",Italy,AC Milan,89,76,19,81.0,20.0,80.0,21.0,80.0,22.0,81.0,23.0,80.0,24.0,81.0,25.0,82.0,26.0,79.0,27.0,79.0,28.0,did not hit their potential,
Sergio Busquets Burgos,Sergio Busquets,189511,"['CDM', 'CM']",Spain,FC Barcelona,89,85,23,85.0,24.0,85.0,25.0,86.0,26.0,87.0,27.0,86.0,28.0,88.0,29.0,89.0,30.0,87.0,31.0,86.0,32.0,lived to expectations,6.0
Alberto Masi,A. Masi,209636,['CB'],Italy,FC Pro Vercelli 1892,88,71,19,66.0,20.0,65.0,21.0,68.0,22.0,68.0,23.0,67.0,24.0,66.0,25.0,65.0,26.0,,,,,did not hit their potential,
Gabriel Appelt Pires,Gabriel,208141,"['CDM', 'CM']",Brazil,FC Pro Vercelli 1892,88,66,18,64.0,19.0,62.0,20.0,68.0,21.0,76.0,22.0,75.0,23.0,76.0,24.0,80.0,25.0,79.0,26.0,76.0,27.0,did not hit their potential,
Matija Nastasic,M. Nastasić,205362,"['CB', 'LB']",Serbia,Manchester City,88,75,19,77.0,20.0,77.0,21.0,79.0,22.0,80.0,23.0,80.0,24.0,81.0,25.0,80.0,26.0,77.0,27.0,74.0,28.0,did not hit their potential,
Gaston Ramirez,G. Ramirez,201508,"['CF', 'CAM', 'ST', 'RW']",Uruguay,Southampton,88,78,21,80.0,22.0,78.0,23.0,78.0,24.0,78.0,25.0,78.0,26.0,79.0,27.0,78.0,28.0,77.0,29.0,77.0,30.0,did not hit their potential,
Nicola Leali,N. Leali,201299,['GK'],Italy,SS Virtus Lanciano,88,71,19,72.0,20.0,71.0,21.0,72.0,22.0,73.0,23.0,71.0,24.0,70.0,25.0,70.0,26.0,,,,,did not hit their potential,
Alexander Merkel,A. Merkel,200700,"['CAM', 'LM', 'RM', 'CM']",Germany,Genoa,88,75,20,74.0,21.0,69.0,22.0,68.0,23.0,69.0,24.0,68.0,25.0,68.0,26.0,69.0,27.0,,,68.0,29.0,did not hit their potential,
Juan Manuel Iturbe,J. Iturbe,199151,"['RW', 'LW', 'CAM']",Argentina,FC Porto,88,74,19,74.0,20.0,77.0,21.0,77.0,22.0,77.0,23.0,76.0,24.0,76.0,25.0,72.0,26.0,72.0,27.0,,,did not hit their potential,
Luis Muriel,L. Muriel,199110,"['ST', 'CF']",Colombia,Udinese Calcio,88,78,21,80.0,22.0,73.0,23.0,74.0,24.0,76.0,25.0,80.0,26.0,79.0,27.0,80.0,28.0,79.0,29.0,82.0,30.0,did not hit their potential,
Rodrigo Moreno Machado,Rodrigo,198329,"['ST', 'CF', 'RM', 'LM']",Spain,SL Benfica,88,78,21,77.0,22.0,80.0,23.0,79.0,24.0,78.0,25.0,78.0,26.0,84.0,27.0,83.0,28.0,82.0,29.0,79.0,30.0,did not hit their potential,
