Player name,Known as,player_id,position,nationality,team,Fifa 16 Potential rating,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age,Fifa 16 outcome,Year potential reached
James Rodriguez,J. Rodríguez,198710,"['CAM', 'CM', 'RM']",Colombia,Real Madrid CF,93,87,23,87.0,24.0,86.0,25.0,88.0,26.0,85.0,27.0,82.0,28.0,81.0,29.0,did not hit their potential,
Paul Pogba,P. Pogba,195864,['CM'],France,Juventus,93,86,22,88.0,23.0,87.0,24.0,88.0,25.0,88.0,26.0,86.0,27.0,87.0,28.0,did not hit their potential,
Neymar Da Silva Santos Jr,Neymar,190871,['LW'],Brazil,FC Barcelona,93,88,23,92.0,24.0,92.0,25.0,92.0,26.0,92.0,27.0,91.0,28.0,91.0,29.0,lived to expectations,1.0
Youri Tielemans,Y. Tielemans,216393,"['CM', 'CAM']",Belgium,RSC Anderlecht,90,76,18,77.0,19.0,80.0,20.0,79.0,21.0,80.0,22.0,81.0,23.0,84.0,24.0,did not hit their potential,
Thibaut Courtois,T. Courtois,192119,['GK'],Belgium,Chelsea,90,86,23,89.0,24.0,89.0,25.0,90.0,26.0,88.0,27.0,89.0,28.0,89.0,29.0,lived to expectations,1.0
Memphis Depay,M. Depay,202556,"['LW', 'CAM']",Netherlands,Manchester United,89,81,21,80.0,22.0,80.0,23.0,83.0,24.0,84.0,25.0,85.0,26.0,85.0,27.0,did not hit their potential,
Raphael Varane,R. Varane,201535,['CB'],France,Real Madrid CF,89,82,22,84.0,23.0,85.0,24.0,86.0,25.0,85.0,26.0,86.0,27.0,86.0,28.0,did not hit their potential,
Marco Verratti,M. Verratti,199556,"['CM', 'CDM']",Italy,Paris Saint-Germain,89,84,22,85.0,23.0,87.0,24.0,86.0,25.0,86.0,26.0,86.0,27.0,87.0,28.0,did not hit their potential,
Francisco Roman Alarcon Suarez,Isco,197781,"['CAM', 'CM', 'LM']",Spain,Real Madrid CF,89,84,23,84.0,24.0,86.0,25.0,89.0,26.0,86.0,27.0,84.0,28.0,82.0,29.0,lived to expectations,3.0
Goncalo Manuel Ganchinho Guedes,Gonçalo Guedes,224411,"['LM', 'RM']",Portugal,SL Benfica,88,70,18,74.0,19.0,74.0,20.0,82.0,21.0,83.0,22.0,81.0,23.0,81.0,24.0,still has time,
Breel Donald Embolo,B. Embolo,222357,"['ST', 'CF', 'RW']",Switzerland,FC Basel 1893,88,76,18,76.0,19.0,76.0,20.0,76.0,21.0,76.0,22.0,78.0,23.0,77.0,24.0,still has time,
Riechedly Bazoer,R. Bazoer,212269,['CM'],Netherlands,Ajax,88,75,18,77.0,19.0,75.0,20.0,74.0,21.0,73.0,22.0,72.0,23.0,76.0,24.0,did not hit their potential,
