Player name,Known as,player_id,position,nationality,team,Fifa 17 Potential rating,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age,Fifa 17 outcome,Year potential reached
Paul Pogba,P. Pogba,195864,"['CM', 'CDM', 'CAM']",France,Manchester United,94,88,23,87.0,24.0,88.0,25.0,88.0,26.0,86.0,27.0,87.0,28.0,did not hit their potential,
Paulo Bruno Exequiel Dybala,P. Dybala,211110,"['ST', 'CF']",Argentina,Juventus,92,85,22,88.0,23.0,89.0,24.0,88.0,25.0,88.0,26.0,87.0,27.0,did not hit their potential,
Raphaël Varane,R. Varane,201535,['CB'],France,Real Madrid CF,91,84,23,85.0,24.0,86.0,25.0,85.0,26.0,86.0,27.0,86.0,28.0,did not hit their potential,
Jan Oblak,J. Oblak,200389,['GK'],Slovenia,Atlético de Madrid,91,87,23,88.0,24.0,90.0,25.0,91.0,26.0,91.0,27.0,91.0,28.0,lived to expectations,2.0
Ousmane Dembélé,O. Dembélé,231443,"['RM', 'LM', 'CAM']",France,Borussia Dortmund,90,77,19,83.0,20.0,82.0,21.0,84.0,22.0,83.0,23.0,83.0,24.0,still has time,
Renato Júnior Luz Sanches,Renato Sanches,230767,['CM'],Portugal,FC Bayern München,90,78,18,76.0,19.0,75.0,20.0,75.0,21.0,78.0,22.0,80.0,23.0,still has time,
Eric Bertrand Bailly,E. Bailly,225508,['CB'],Côte d'Ivoire,Manchester United,90,82,22,84.0,23.0,83.0,24.0,80.0,25.0,79.0,26.0,79.0,27.0,did not hit their potential,
André Filipe Tavares Gomes,André Gomes,211575,"['CM', 'LM', 'CAM', 'CDM']",Portugal,FC Barcelona,90,84,22,82.0,23.0,80.0,24.0,80.0,25.0,79.0,26.0,77.0,27.0,did not hit their potential,
Anthony Martial,A. Martial,211300,"['LM', 'ST']",France,Manchester United,90,82,20,82.0,21.0,83.0,22.0,83.0,23.0,84.0,24.0,81.0,25.0,did not hit their potential,
Bamidele Alli,D. Alli,211117,"['CAM', 'CDM', 'LM']",England,Tottenham Hotspur,90,80,20,84.0,21.0,84.0,22.0,84.0,23.0,83.0,24.0,80.0,25.0,did not hit their potential,
Harry Kane,H. Kane,202126,['ST'],England,Tottenham Hotspur,90,84,22,86.0,23.0,89.0,24.0,89.0,25.0,88.0,26.0,90.0,27.0,lived to expectations,2.0
