Player name,Known as,player_id,position,nationality,team,Fifa 18 Potential rating,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age,Fifa 18 outcome,Year potential reached
Kylian Mbappe,K. Mbappé,231747,['ST'],France,AS Monaco,94,83,18,87.0,19.0,89.0,20.0,90.0,21.0,91.0,22.0,still has time,
Gianluigi Donnarumma,G. Donnarumma,230621,['GK'],Italy,AC Milan,94,82,18,82.0,19.0,85.0,20.0,85.0,21.0,89.0,22.0,still has time,
Paulo Dybala,P. Dybala,211110,"['CAM', 'ST']",Argentina,Juventus,93,88,23,89.0,24.0,88.0,25.0,88.0,26.0,87.0,27.0,did not hit their potential,
Gabriel Fernando De Jesus,Gabriel Jesus,230666,['ST'],Brazil,Manchester City,92,81,20,83.0,21.0,82.0,22.0,83.0,23.0,83.0,24.0,still has time,
Marco Asensio Willemsen,Marco Asensio,220834,"['CAM', 'RM', 'LM', 'LW']",Spain,Real Madrid CF,92,84,21,85.0,22.0,83.0,23.0,82.0,24.0,83.0,25.0,did not hit their potential,
Leroy Sane,L. Sané,222492,"['LW', 'RW', 'LM']",Germany,Manchester City,91,82,21,86.0,22.0,86.0,23.0,85.0,24.0,84.0,25.0,did not hit their potential,
Bernardo Mota Carvalho E Silva,Bernardo Silva,218667,['RM'],Portugal,Manchester City,91,84,22,84.0,23.0,87.0,24.0,87.0,25.0,86.0,26.0,did not hit their potential,
Thomas Lemar,T. Lemar,213565,['LM'],France,AS Monaco,91,83,21,83.0,22.0,83.0,23.0,81.0,24.0,83.0,25.0,did not hit their potential,
Ezequiel Barco,E. Barco,236007,"['LM', 'CM']",Argentina,Club Atlético Independiente,90,72,18,74.0,19.0,74.0,20.0,74.0,21.0,74.0,22.0,still has time,
Ousmane Dembele,O. Dembélé,231443,"['RM', 'RW', 'LM', 'CAM']",France,Borussia Dortmund,90,83,20,82.0,21.0,84.0,22.0,83.0,23.0,83.0,24.0,still has time,
Youri Tielemans,Y. Tielemans,216393,"['CM', 'CAM']",Belgium,AS Monaco,90,80,20,79.0,21.0,80.0,22.0,81.0,23.0,84.0,24.0,did not hit their potential,
Keita Balde Diao,K. Baldé Diao,215785,"['LW', 'RW', 'ST']",Senegal,Lazio,90,82,22,80.0,23.0,80.0,24.0,76.0,25.0,76.0,26.0,did not hit their potential,
Anthony Martial,A. Martial,211300,"['LM', 'ST']",France,Manchester United,90,82,21,83.0,22.0,83.0,23.0,84.0,24.0,81.0,25.0,did not hit their potential,
Dele Alli,D. Alli,211117,"['CAM', 'CF', 'LM']",England,Tottenham Hotspur,90,84,21,84.0,22.0,84.0,23.0,83.0,24.0,80.0,25.0,did not hit their potential,
Andrea Belotti,A. Belotti,208596,['ST'],Italy,Torino F.C.,90,83,23,82.0,24.0,82.0,25.0,80.0,26.0,81.0,27.0,did not hit their potential,
Saul Niguez Esclapez,Saúl,208421,"['CM', 'RM']",Spain,Atlético de Madrid,90,82,22,85.0,23.0,85.0,24.0,84.0,25.0,82.0,26.0,did not hit their potential,
Yannick Carrasco,Y. Carrasco,208418,"['LM', 'RM']",Belgium,Atlético de Madrid,90,85,23,83.0,24.0,83.0,25.0,82.0,26.0,84.0,27.0,did not hit their potential,
Harry Kane,H. Kane,202126,['ST'],England,Tottenham Hotspur,90,86,23,89.0,24.0,89.0,25.0,88.0,26.0,90.0,27.0,lived to expectations,1.0
Matthijs De Ligt,M. de Ligt,235243,['CB'],Netherlands,Ajax,89,76,17,80.0,18.0,85.0,19.0,85.0,20.0,85.0,21.0,still has time,
Alban Lafont,A. Lafont,231691,['GK'],France,Toulouse Football Club,89,77,18,77.0,19.0,79.0,20.0,78.0,21.0,78.0,22.0,still has time,
Christian Pulisic,C. Pulisic,227796,"['RM', 'RW', 'LW', 'LM']",United States,Borussia Dortmund,89,78,18,79.0,19.0,79.0,20.0,81.0,21.0,82.0,22.0,still has time,
Eric Bailly,E. Bailly,225508,['CB'],Côte d'Ivoire,Manchester United,89,84,23,83.0,24.0,80.0,25.0,79.0,26.0,79.0,27.0,did not hit their potential,
Corentin Tolisso,C. Tolisso,219683,"['CM', 'CDM']",France,FC Bayern München,89,82,22,83.0,23.0,83.0,24.0,80.0,25.0,80.0,26.0,did not hit their potential,
Andreas Christensen,A. Christensen,213661,"['CB', 'CDM']",Denmark,Chelsea,89,81,21,82.0,22.0,80.0,23.0,79.0,24.0,80.0,25.0,still has time,
Aymeric Laporte,A. Laporte,212218,['CB'],France,Athletic Club de Bilbao,89,84,23,83.0,24.0,87.0,25.0,87.0,26.0,86.0,27.0,did not hit their potential,
Niklas Sule,N. Süle,212190,['CB'],Germany,FC Bayern München,89,83,21,84.0,22.0,85.0,23.0,84.0,24.0,82.0,25.0,still has time,
Ederson Santana De Moraes,Ederson,210257,['GK'],Brazil,Manchester City,89,83,23,86.0,24.0,88.0,25.0,88.0,26.0,89.0,27.0,lived to expectations,2.0
Marcos Aoas Correa,Marquinhos,207865,['CB'],Brazil,Paris Saint-Germain,89,83,23,84.0,24.0,86.0,25.0,85.0,26.0,87.0,27.0,did not hit their potential,
Gerard Deulofeu Lazaro,Deulofeu,202477,"['LW', 'RW']",Spain,FC Barcelona,89,82,23,81.0,24.0,80.0,25.0,80.0,26.0,79.0,27.0,did not hit their potential,
Kai Havertz,K. Havertz,235790,"['RM', 'CAM', 'CF']",Germany,Bayer 04 Leverkusen,88,73,18,79.0,19.0,84.0,20.0,85.0,21.0,84.0,22.0,still has time,
Malang Sarr,M. Sarr,235454,"['CB', 'LB']",France,OGC Nice,88,75,18,74.0,19.0,76.0,20.0,,,74.0,22.0,still has time,
Marcus Rashford,M. Rashford,231677,"['ST', 'RM', 'LM']",England,Manchester United,88,79,19,81.0,20.0,83.0,21.0,85.0,22.0,85.0,23.0,still has time,
Lautaro Martinez,L. Martínez,231478,"['ST', 'CAM', 'RM']",Argentina,Racing Club,88,72,19,79.0,20.0,81.0,21.0,84.0,22.0,85.0,23.0,still has time,
Kasper Dolberg,K. Dolberg,228687,['ST'],Denmark,Ajax,88,78,19,76.0,20.0,76.0,21.0,79.0,22.0,79.0,23.0,still has time,
Gelson Dany Batalha Martins,Gelson Martins,227055,"['RM', 'LM']",Portugal,Sporting CP,88,81,22,82.0,23.0,82.0,24.0,80.0,25.0,78.0,26.0,did not hit their potential,
Alex Meret,A. Meret,225116,['GK'],Italy,SPAL,88,74,20,75.0,21.0,78.0,22.0,78.0,23.0,79.0,24.0,still has time,
