Player name,Known as,player_id,position,nationality,team,Fifa 20 Potential rating,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age,Fifa 20 outcome,Year potential reached
Kylian Mbappe,K. Mbappé,231747,"['ST', 'RW']",France,Paris Saint-Germain,95,89,20,90.0,21.0,91.0,22.0,still has time,
Joao Felix Sequeira,João Félix,242444,"['CF', 'ST']",Portugal,Atlético de Madrid,93,80,19,81.0,20.0,83.0,21.0,still has time,
Matthijs De Ligt,M. de Ligt,235243,['CB'],Netherlands,Juventus,93,85,19,85.0,20.0,85.0,21.0,still has time,
Vinicius Jose De Oliveira Junior,Vinícius Jr.,238794,['LW'],Brazil,Real Madrid CF,92,79,18,80.0,19.0,80.0,20.0,still has time,
Kai Havertz,K. Havertz,235790,"['CAM', 'RM']",Germany,Bayer 04 Leverkusen,92,84,20,85.0,21.0,84.0,22.0,still has time,
Jadon Sancho,J. Sancho,233049,"['RM', 'LM']",England,Borussia Dortmund,92,84,19,87.0,20.0,87.0,21.0,still has time,
Gianluigi Donnarumma,G. Donnarumma,230621,['GK'],Italy,AC Milan,92,85,20,85.0,21.0,89.0,22.0,still has time,
Leroy Sane,L. Sané,222492,['LW'],Germany,Manchester City,92,86,23,85.0,24.0,84.0,25.0,did not hit their potential,
Frenkie De Jong,F. de Jong,228702,"['CM', 'CDM']",Netherlands,FC Barcelona,91,85,22,85.0,23.0,87.0,24.0,did not hit their potential,
Phil Foden,P. Foden,237692,"['CAM', 'CM']",England,Manchester City,90,76,19,79.0,20.0,84.0,21.0,still has time,
Rodrigo Hernandez Cascante,Rodri,231866,"['CDM', 'CM']",Spain,Manchester City,90,85,23,85.0,24.0,86.0,25.0,still has time,
Ousmane Dembele,O. Dembélé,231443,"['RW', 'LW']",France,FC Barcelona,90,84,22,83.0,23.0,83.0,24.0,still has time,
Fabian Ruiz Pena,Fabián,226271,"['CM', 'CDM', 'CAM']",Spain,Napoli,90,83,23,82.0,24.0,82.0,25.0,did not hit their potential,
Niklas Sule,N. Süle,212190,['CB'],Germany,FC Bayern München,90,85,23,84.0,24.0,82.0,25.0,still has time,
Rodrygo Silva De Goes,Rodrygo,243812,"['LW', 'RW', 'ST']",Brazil,Real Madrid CF,89,76,18,79.0,19.0,79.0,20.0,still has time,
Sandro Tonali,S. Tonali,241096,"['CDM', 'CM']",Italy,Brescia,89,75,19,77.0,20.0,77.0,21.0,still has time,
Dominik Szoboszlai,D. Szoboszlai,236772,"['CAM', 'RM', 'CM']",Hungary,FC Red Bull Salzburg,89,74,18,75.0,19.0,77.0,20.0,still has time,
Moise Kean,M. Kean,236610,['ST'],Italy,Everton,89,76,19,74.0,20.0,79.0,21.0,still has time,
Tanguy Ndombele,T. Ndombele,235569,"['CM', 'CDM']",France,Tottenham Hotspur,89,81,22,80.0,23.0,82.0,24.0,did not hit their potential,
Houssem Aouar,H. Aouar,234906,['CM'],France,Olympique Lyonnais,89,81,21,81.0,22.0,81.0,23.0,still has time,
Lucas Tolentino Coelho De Lima,Lucas Paquetá,233927,"['CAM', 'CM']",Brazil,AC Milan,89,79,21,76.0,22.0,81.0,23.0,still has time,
Luka Jovic,L. Jović,232432,['ST'],Serbia,Real Madrid CF,89,83,21,80.0,22.0,79.0,23.0,still has time,
Lautaro Martinez,L. Martínez,231478,['ST'],Argentina,Inter,89,81,21,84.0,22.0,85.0,23.0,still has time,
Trent Alexander Arnold,T. Alexander-Arnold,231281,['RB'],England,Liverpool,89,83,20,87.0,21.0,87.0,22.0,still has time,
Arthur Henrique Ramos Oliveira Melo,Arthur,230658,['CM'],Brazil,FC Barcelona,89,84,22,84.0,23.0,83.0,24.0,did not hit their potential,
Mikel Oyarzabal Ugarte,Oyarzabal,230142,"['LW', 'LM', 'RW']",Spain,Real Sociedad,89,82,22,84.0,23.0,85.0,24.0,still has time,
Rodrigo Bentancur,R. Bentancur,227535,['CM'],Uruguay,Juventus,89,79,22,79.0,23.0,78.0,24.0,did not hit their potential,
Giovani Lo Celso,G. Lo Celso,226226,"['CM', 'CAM', 'CF']",Argentina,Tottenham Hotspur,89,83,23,82.0,24.0,81.0,25.0,did not hit their potential,
Alex Meret,A. Meret,225116,['GK'],Italy,Napoli,89,78,22,78.0,23.0,79.0,24.0,still has time,
Lucas Hernandez,L. Hernández,220814,"['CB', 'LB']",France,FC Bayern München,89,84,23,82.0,24.0,83.0,25.0,still has time,
Dele Alli,D. Alli,211117,"['CAM', 'CM']",England,Tottenham Hotspur,89,84,23,83.0,24.0,80.0,25.0,did not hit their potential,
Pedro De La Vega,P. De la Vega,246045,['RW'],Argentina,Club Atlético Lanús,88,70,18,71.0,19.0,74.0,20.0,still has time,
Thiago Almada,T. Almada,245371,"['CAM', 'LW', 'ST']",Argentina,Vélez Sarsfield,88,72,18,73.0,19.0,74.0,20.0,still has time,
Andriy Lunin,A. Lunin,243952,['GK'],Ukraine,Real Valladolid CF,88,76,20,75.0,21.0,74.0,22.0,still has time,
William Saliba,W. Saliba,243715,['CB'],France,AS Saint-Étienne,88,71,18,74.0,19.0,75.0,20.0,still has time,
Callum Hudson Odoi,C. Hudson-Odoi,240740,"['RW', 'LW']",England,Chelsea,88,74,18,74.0,19.0,77.0,20.0,still has time,
