Player name,Known as,player_id,position,nationality,team,Fifa 21 Potential rating,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age,Fifa 21 outcome,Year potential reached
Kylian Mbappe,K. Mbappé,231747,"['ST', 'LW', 'RW']",France,Paris Saint-Germain,95,90,21,91.0,22.0,still has time,
Joao Felix Sequeira,João Félix,242444,"['CF', 'ST']",Portugal,Atlético de Madrid,93,81,20,83.0,21.0,still has time,
Vinicius Jose De Oliveira Junior,Vinícius Jr.,238794,['LW'],Brazil,Real Madrid CF,93,80,19,80.0,20.0,still has time,
Kai Havertz,K. Havertz,235790,"['CAM', 'RM', 'CF']",Germany,Bayer 04 Leverkusen,93,85,21,84.0,22.0,still has time,
Jadon Sancho,J. Sancho,233049,"['RM', 'LM', 'CAM']",England,Borussia Dortmund,93,87,20,87.0,21.0,still has time,
Erling Braut Haaland,E. Haaland,239085,['ST'],Norway,Borussia Dortmund,92,84,19,88.0,20.0,still has time,
Matthijs De Ligt,M. de Ligt,235243,['CB'],Netherlands,Juventus,92,85,20,85.0,21.0,still has time,
Trent Alexander Arnold,T. Alexander-Arnold,231281,['RB'],England,Liverpool,92,87,21,87.0,22.0,still has time,
Gianluigi Donnarumma,G. Donnarumma,230621,['GK'],Italy,AC Milan,92,85,21,89.0,22.0,still has time,
Francisco Mota Castro Trincao,Trincão,244778,"['RW', 'LW', 'CAM']",Portugal,FC Barcelona,91,78,20,76.0,21.0,still has time,
Sandro Tonali,S. Tonali,241096,"['CDM', 'CM']",Italy,Brescia,91,77,20,77.0,21.0,still has time,
Marcus Rashford,M. Rashford,231677,"['LM', 'ST']",England,Manchester United,91,85,22,85.0,23.0,still has time,
Lautaro Martinez,L. Martínez,231478,['ST'],Argentina,Inter,91,84,22,85.0,23.0,still has time,
Anssumane Fati,Ansu Fati,253004,"['LW', 'RW']",Spain,FC Barcelona,90,76,17,76.0,18.0,still has time,
Rodrygo Silva De Goes,Rodrygo,243812,"['RW', 'LW']",Brazil,Real Madrid CF,90,79,19,79.0,20.0,still has time,
Federico Valverde,F. Valverde,239053,['CM'],Uruguay,Real Madrid CF,90,83,21,83.0,22.0,still has time,
Mikel Oyarzabal Ugarte,Oyarzabal,230142,"['LW', 'RW']",Spain,Real Sociedad,90,84,23,85.0,24.0,still has time,
Dayot Upamecano,D. Upamecano,229558,['CB'],France,RB Leipzig,90,79,21,82.0,22.0,still has time,
Frenkie De Jong,F. de Jong,228702,['CM'],Netherlands,FC Barcelona,90,85,23,87.0,24.0,did not hit their potential,
Mason Greenwood,M. Greenwood,246147,"['RM', 'ST']",England,Manchester United,89,77,18,78.0,19.0,still has time,
Thiago Almada,T. Almada,245371,"['CAM', 'CM', 'LW']",Argentina,Vélez Sarsfield,89,73,19,74.0,20.0,still has time,
Sergio Reguilon Rodriguez,Reguilón,245279,"['LB', 'LM']",Spain,Real Madrid CF,89,82,23,81.0,24.0,did not hit their potential,
Ferran Torres Garcia,Ferrán Torres,241461,"['RM', 'LM', 'CF']",Spain,Manchester City,89,81,20,82.0,21.0,still has time,
Marc Cucurella Saseta,Cucurella,239231,"['LM', 'LB']",Spain,Getafe CF,89,81,21,81.0,22.0,still has time,
Takefusa Kubo,T. Kubo,237681,"['RM', 'CM', 'CAM']",Japan,Villarreal CF,89,75,19,75.0,20.0,still has time,
Marcus Edwards,M. Edwards,235619,['RW'],England,Vitória de Guimarães,89,77,21,76.0,22.0,still has time,
Houssem Aouar,H. Aouar,234906,"['CM', 'LM']",France,Olympique Lyonnais,89,81,22,81.0,23.0,still has time,
Alphonso Davies,A. Davies,234396,"['LB', 'LM', 'RM']",Canada,FC Bayern München,89,81,19,82.0,20.0,still has time,
Ousmane Dembele,O. Dembélé,231443,"['LW', 'RW']",France,FC Barcelona,89,83,23,83.0,24.0,still has time,
Arthur Henrique Ramos Oliveira Melo,Arthur,230658,['CM'],Brazil,FC Barcelona,89,84,23,83.0,24.0,did not hit their potential,
Martin Odegaard,M. Ødegaard,222665,"['CAM', 'CM', 'RM']",Norway,Real Madrid CF,89,83,21,82.0,22.0,still has time,
Florian Wirtz,F. Wirtz,256630,"['CAM', 'RM']",Germany,Bayer 04 Leverkusen,88,68,17,78.0,18.0,still has time,
Antony Matheus Dos Santos,Antony,255475,"['RW', 'LW']",Brazil,Ajax,88,78,20,79.0,21.0,still has time,
Jude Bellingham,J. Bellingham,252371,"['CM', 'LM', 'RM']",England,Borussia Dortmund,88,69,17,79.0,18.0,still has time,
Pedro Gonzalez Lopez,Pedri,251854,"['LM', 'CAM']",Spain,FC Barcelona,88,72,17,81.0,18.0,still has time,
Rayan Cherki,R. Cherki,251570,"['CAM', 'LW', 'RW']",France,Olympique Lyonnais,88,67,16,73.0,17.0,still has time,
Eduardo Camavinga,E. Camavinga,248243,['CM'],France,Stade Rennais FC,88,76,17,78.0,18.0,still has time,
Edmond Tapsoba,E. Tapsoba,247263,['CB'],Burkina Faso,Bayer 04 Leverkusen,88,78,21,81.0,22.0,still has time,
Emerson Leite De Souza,Emerson,247204,"['RB', 'RM', 'RWB']",Brazil,Real Betis Balompié,88,78,21,79.0,22.0,still has time,
Mohamed Ihattaren,M. Ihattaren,246960,"['CAM', 'RM', 'CM']",Netherlands,PSV,88,77,18,75.0,19.0,still has time,
Bukayo Saka,B. Saka,246669,"['LM', 'LWB', 'RW']",England,Arsenal,88,75,18,80.0,19.0,still has time,
Agustin Urzi,A. Urzi,246469,"['LM', 'CM', 'RM']",Argentina,Club Atlético Banfield,88,73,20,72.0,21.0,still has time,
Jeremy Doku,J. Doku,246420,"['RW', 'LW']",Belgium,RSC Anderlecht,88,71,18,77.0,19.0,still has time,
Luis Manuel Arantes Maximiano,Luís Maximiano,244316,['GK'],Portugal,Sporting CP,88,78,21,76.0,22.0,still has time,
Jonathan David,J. David,243630,"['ST', 'CF', 'CAM']",Canada,LOSC Lille,88,77,20,78.0,21.0,still has time,
Ricard Puig Marti,Riqui Puig,242816,"['CM', 'CAM']",Spain,FC Barcelona,88,75,20,76.0,21.0,still has time,
