Player name,Known as,player_id,position,nationality,team,Fifa 07 Potential rating,Fifa 7 overall_rating,Fifa 7 age,Fifa 8 overall_rating,Fifa 8 age,Fifa 9 overall_rating,Fifa 9 age,Fifa 10 overall_rating,Fifa 10 age,Fifa 11 overall_rating,Fifa 11 age,Fifa 12 overall_rating,Fifa 12 age,Fifa 13 overall_rating,Fifa 13 age,Fifa 14 overall_rating,Fifa 14 age,Fifa 15 overall_rating,Fifa 15 age,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Lionel Messi,L. Messi,158023,['RF'],Argentina,FC Barcelona,94,,,,,,,90,22,90,23,94,24,94,25,94,26,93,27,94,28,93,29,93,30,94,31,94,32,93,33,93,34
Robinho,Robinho,136144,['ST'],Brazil,Real Madrid CF,94,,,,,,,85,25,81,26,84,27,83,28,75,29,,,,,,,,,77,34,,,,,,
Theo Walcott,T. Walcott,164859,['ST'],England,Arsenal,93,,,,,,,81,20,81,21,82,22,81,23,81,24,81,25,81,26,81,27,80,28,79,29,77,30,76,31,76,32
Salomon Kalou,S. Kalou,158232,['CF'],Côte d'Ivoire,Chelsea,93,,,,,,,80,23,80,24,81,25,78,26,78,27,78,28,77,29,81,30,80,31,79,32,79,33,,,,
Sergio Aguero,S. Agüero,153079,['CF'],Argentina,Atlético de Madrid,93,,,,,,,84,21,84,22,86,23,87,24,88,25,86,26,87,27,89,28,89,29,89,30,89,31,89,32,87,33
Oleg Husyev,O. Husyev,140957,['RM'],Ukraine,Ukraine,93,,,,,,,78,26,,,,,,,,,,,,,,,,,,,,,,,,
Wayne Rooney,W. Rooney,54050,['ST'],England,Manchester United,,,,,,,,87,23,88,24,90,25,89,26,87,27,86,28,86,29,84,30,81,31,80,32,80,33,77,34,,
Franck Ribery,F. Ribéry,156616,['CAM'],France,Olympique de Marseille,92,,,,,,,88,26,86,27,88,28,90,29,90,30,88,31,87,32,86,33,86,34,85,35,,,81,37,79,38
Sergio Ramos,Sergio Ramos,155862,['CB'],Spain,Real Madrid CF,92,,,,,,,85,23,85,24,85,25,87,26,86,27,87,28,87,29,89,30,90,31,91,32,89,33,89,34,88,35
Yoann Gourcuff,Y. Gourcuff,153296,['CM'],France,AC Milan,92,,,,,,,85,22,83,23,81,24,79,25,79,26,77,27,,,78,29,79,30,75,31,,,,,,
Lukas Podolski,L. Podolski,150516,['CF'],Germany,FC Bayern München,92,,,,,,,81,24,81,25,83,26,83,27,80,28,77,29,77,30,80,31,80,32,78,33,75,34,75,35,73,36
Klaas Jan Huntelaar,K. Huntelaar,148803,['ST'],Netherlands,Ajax,92,,,,,,,82,25,80,26,82,27,85,28,84,29,84,30,82,31,81,32,77,33,77,34,77,35,74,36,,
Daniel Alves,Daniel Alves,146530,['RB'],Brazil,Sevilla FC,92,,,,,,,86,26,84,27,86,28,84,29,84,30,83,31,84,32,85,33,84,34,82,35,,,,,77,38
Vincent Kompany,V. Kompany,139720,['CB'],Belgium,Hamburger SV,92,,,,,,,79,23,80,24,84,25,85,26,86,27,86,28,85,29,86,30,85,31,85,32,83,33,,,,
Nilmar,Nilmar,135567,['RF'],Brazil,Sport Club Corinthians Paulista,92,,,,,,,79,24,80,25,83,26,,,,,,,,,,,,,,,,,,,,
Jeremy Toulalan,J. Toulalan,112253,['CDM'],France,Olympique Lyonnais,92,,,,,,,83,25,83,26,81,27,83,28,82,29,83,30,82,31,83,32,79,33,,,,,,,,
Fernando Torres,Fernando Torres,49369,['ST'],Spain,Atlético de Madrid,92,,,,,,,88,25,86,26,86,27,85,28,82,29,81,30,79,31,81,32,81,33,80,34,,,,,,
Rafael Van Der Vaart,R. van der Vaart,45574,['CAM'],Netherlands,Hamburger SV,92,,,,,,,83,26,84,27,87,28,85,29,83,30,81,31,78,32,75,33,71,34,67,35,,,,,,
Cristiano Ronaldo,C. Ronaldo,20801,['RW'],Portugal,Manchester United,92,,,,,,,89,24,89,25,92,26,92,27,92,28,92,29,93,30,94,31,94,32,94,33,93,34,92,35,91,36
Daniel Sturridge,D. Sturridge,171833,['ST'],England,Manchester City,91,,,,,,,75,19,76,20,80,21,78,22,80,23,83,24,83,25,84,26,82,27,80,28,,,,,75,31
Nuri Sahin,N. Sahin,170797,['CM'],Turkey,Borussia Dortmund,91,,,,,,,77,20,79,21,85,22,82,23,82,24,81,25,81,26,80,27,79,28,79,29,78,30,,,74,32
Anderson,Anderson,167963,['CAM'],Brazil,FC Porto,91,,,,,,,80,21,78,22,77,23,77,24,77,25,73,26,73,27,,,,,,,,,,,,
Johan Djourou,J. Djourou,162893,['CDM'],Switzerland,Arsenal,91,,,,,,,78,22,78,23,77,24,75,25,75,26,74,27,76,28,77,29,73,30,72,31,,,69,33,,
Valon Behrami,V. Behrami,161805,['RW'],Switzerland,Lazio,91,,,,,,,77,24,76,25,77,26,79,27,78,28,79,29,76,30,77,31,77,32,76,33,75,34,75,35,73,36
Hatem Ben Arfa,H. Ben Arfa,161648,['CF'],France,Olympique Lyonnais,91,,,,,,,78,22,78,23,79,24,81,25,79,26,78,27,79,28,84,29,81,30,,,,,75,33,75,34
Ryan Babel,R. Babel,157301,['ST'],Netherlands,Ajax,91,,,,,,,80,22,77,23,77,24,76,25,,,75,27,,,,,75,30,79,31,78,32,77,33,76,34
Rio Antonio Mavuba,R. Mavuba,150656,['CDM'],France,FC Girondins de Bordeaux,91,,,,,,,76,25,77,26,81,27,82,28,81,29,81,30,79,31,77,32,75,33,73,34,,,,,,
Valeri Bojinov,V. Bojinov,149306,['ST'],Bulgaria,Juventus,91,,,,,,,76,23,78,24,76,25,73,26,70,27,,,,,,,69,31,,,69,33,,,,
Javier Mascherano,J. Mascherano,142754,['CDM'],Argentina,Sport Club Corinthians Paulista,91,,,,,,,85,25,84,26,86,27,86,28,84,29,83,30,83,31,85,32,83,33,80,34,80,35,79,36,,
F Guillermo Ochoa,F. Ochoa,140233,['GK'],Mexico,Mexico,91,,,,,,,80,23,79,24,76,25,77,26,78,27,80,28,80,29,80,30,79,31,77,32,78,33,79,34,80,35
Mirko Vucinic,M. Vucinic,106850,['ST'],Serbia,Lecce,91,,,,,,,83,25,82,26,81,27,82,28,83,29,,,,,,,,,,,,,,,,
Philippe Senderos,P. Senderos,49966,['CB'],Switzerland,Arsenal,91,,,,,,,76,24,74,25,72,26,73,27,72,28,72,29,72,30,,,68,32,67,33,,,,,,
Michael Essien,M. Essien,45674,['CM'],Ghana,Chelsea,91,,,,,,,86,26,85,27,84,28,82,29,81,30,75,31,73,32,74,33,,,,,,,,,,
Alberto Gilardino,A. Gilardino,5879,['ST'],Italy,AC Milan,91,,,,,,,84,26,81,27,81,28,78,29,77,30,,,,,75,33,72,34,,,,,,,,
Michael Jones,M. Jones,177692,['RW'],England,Tranmere Rovers,90,,,,,,,59,21,60,22,62,23,64,24,64,25,64,26,65,27,67,28,63,29,63,30,63,31,63,32,62,33
Giovanni Dos Santos,G. dos Santos,170369,['CAM'],Mexico,FC Barcelona,90,,,,,,,76,20,78,21,78,22,74,23,79,24,81,25,79,26,79,27,79,28,77,29,76,30,73,31,,
Micah Richards,M. Richards,169721,['RB'],England,Manchester City,90,,,,,,,76,21,79,22,80,23,80,24,79,25,77,26,79,27,77,28,74,29,69,30,,,,,,
Gionata Mingozzi,G. Mingozzi,168373,['CM'],Italy,Lecce,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Efrain Juarez Valdez,E. Juárez Valdez,167519,['CB'],Mexico,FC Barcelona,90,,,,,,,71,21,79,22,71,23,67,24,65,25,66,26,68,27,70,28,71,29,68,30,68,31,,,,
Cameron Jerome,C. Jerome,165191,['ST'],England,Birmingham City,90,,,,,,,75,22,78,23,73,24,73,25,73,26,72,27,75,28,74,29,72,30,71,31,70,32,,,67,34
