Player name,Known as,player_id,position,nationality,team,Fifa 10 Potential rating,Fifa 10 overall_rating,Fifa 10 age,Fifa 11 overall_rating,Fifa 11 age,Fifa 12 overall_rating,Fifa 12 age,Fifa 13 overall_rating,Fifa 13 age,Fifa 14 overall_rating,Fifa 14 age,Fifa 15 overall_rating,Fifa 15 age,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Lionel Messi,L. Messi,158023,['RW'],Argentina,FC Barcelona,95,90,22,90,23,94,24,94,25,94,26,93,27,94,28,93,29,93,30,94,31,94,32,93,33,93,34
Alexandre Pato,Alexandre Pato,180175,['CF'],Brazil,AC Milan,92,84,19,83,20,85,21,83,22,80,23,,,,,80,26,,,80,28,,,,,75,31
Bojan,Bojan,176993,['CF'],Spain,FC Barcelona,92,79,18,79,19,78,20,76,21,79,22,77,23,81,24,82,25,79,26,75,27,74,28,73,29,71,30
Hugo Lloris,H. Lloris,167948,['GK'],France,Olympique Lyonnais,92,83,22,84,23,85,24,86,25,84,26,85,27,84,28,88,29,88,30,88,31,88,32,87,33,87,34
Yoann Gourcuff,Y. Gourcuff,153296,['CAM'],France,FC Girondins de Bordeaux,92,85,22,83,23,81,24,79,25,79,26,77,27,,,78,29,79,30,75,31,,,,,,
Jesus Navas,Jesús Navas,146536,['RM'],Spain,Sevilla FC,92,83,23,84,24,84,25,85,26,85,27,83,28,81,29,80,30,78,31,78,32,82,33,84,34,84,35
Keirrison,Keirrison,187515,['ST'],Brazil,SL Benfica,91,78,20,76,21,74,22,70,23,71,24,,,,,70,27,,,,,,,,,,
Eden Hazard,E. Hazard,183277,['RW'],Belgium,LOSC Lille,91,77,18,81,19,85,20,87,21,85,22,88,23,89,24,88,25,90,26,91,27,91,28,88,29,85,30
Guilherme,Guilherme,181376,['ST'],Brazil,PFC CSKA Moscow,91,77,20,,,76,22,76,23,73,24,,,73,26,,,,,,,,,,,,
Karim Benzema,K. Benzema,165153,['ST'],France,Real Madrid CF,91,85,21,83,22,84,23,87,24,85,25,85,26,86,27,87,28,86,29,84,30,87,31,89,32,89,33
Francesc Fabregas,F. Fabregas,162895,['CM'],Spain,Arsenal,91,87,22,86,23,88,24,87,25,86,26,84,27,87,28,86,29,86,30,84,31,81,32,75,33,76,34
