Player name,Known as,player_id,position,nationality,team,Fifa 11 Potential rating,Fifa 11 overall_rating,Fifa 11 age,Fifa 12 overall_rating,Fifa 12 age,Fifa 13 overall_rating,Fifa 13 age,Fifa 14 overall_rating,Fifa 14 age,Fifa 15 overall_rating,Fifa 15 age,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Lionel Messi,L. Messi,158023,"['RW', 'RF', 'ST', 'CAM']",Argentina,FC Barcelona,95,90,23,94,24,94,25,94,26,93,27,94,28,93,29,93,30,94,31,94,32,93,33,93,34
Hugo Lloris,H. Lloris,167948,['GK'],France,Olympique Lyonnais,92,84,23,85,24,86,25,84,26,85,27,84,28,88,29,88,30,88,31,88,32,87,33,87,34
Eden Hazard,E. Hazard,183277,"['RW', 'LW', 'CF', 'RM']",Belgium,LOSC Lille,91,81,19,85,20,87,21,85,22,88,23,89,24,88,25,90,26,91,27,91,28,88,29,85,30
Aly Cissokho,A. Cissokho,181455,"['LB', 'LWB', 'LM']",France,Olympique Lyonnais,91,78,22,77,23,76,24,75,25,74,26,74,27,72,28,71,29,70,30,70,31,,,,
Alexandre Rodrigues Da Silva,Alexandre Pato,180175,"['CF', 'ST', 'RF', 'LF']",Brazil,AC Milan,91,83,20,85,21,83,22,80,23,,,,,80,26,,,80,28,,,,,75,31
Francesc Fabregas,F. Fabregas,162895,"['CM', 'CAM']",Spain,Arsenal,91,86,23,88,24,87,25,86,26,84,27,87,28,86,29,86,30,84,31,81,32,75,33,76,34
Franco Di Santo,F. di Santo,186405,"['ST', 'CF']",Argentina,Wigan Athletic,90,74,21,70,22,72,23,72,24,75,25,79,26,77,27,75,28,76,29,,,71,31,72,32
Sotiris Ninis,S. Ninis,181460,"['CAM', 'RM', 'RW']",Greece,Greece,90,77,20,75,21,75,22,73,23,,,74,25,73,26,69,27,,,,,,,,
Samir Nasri,S. Nasri,165239,"['CAM', 'CM', 'RW', 'RM']",France,Arsenal,90,84,23,86,24,85,25,84,26,84,27,83,28,82,29,82,30,,,78,32,,,,
Sergio Aguero,S. Agüero,153079,"['CF', 'ST']",Argentina,Atlético de Madrid,90,84,22,86,23,87,24,88,25,86,26,87,27,89,28,89,29,89,30,89,31,89,32,87,33
Dong Won Ji,Ji Dong Won,199266,"['ST', 'LW', 'CF']",Korea Republic,Korea Republic,89,66,19,68,20,69,21,72,22,71,23,71,24,71,25,71,26,71,27,72,28,71,29,68,30
James Rodriguez,J. Rodríguez,198710,"['LF', 'LW', 'CAM', 'RW']",Colombia,FC Porto,89,76,18,79,19,83,20,83,21,86,22,87,23,87,24,86,25,88,26,85,27,82,28,81,29
Givanildo Vieira De Souza,Hulk,189362,"['RW', 'CF', 'RF', 'ST']",Brazil,FC Porto,89,83,23,85,24,84,25,84,26,83,27,84,28,86,29,,,81,31,80,32,80,33,,
Paulo Henrique Chagas De Lima,Ganso,187688,"['CAM', 'CM', 'CF']",Brazil,Santos,89,82,20,83,21,80,22,77,23,,,,,81,26,80,27,75,28,,,,,,
Seung Yeoul Lee,Lee Seung Yeoul,187145,"['CF', 'LW', 'CAM']",Korea Republic,Korea Republic,89,68,21,65,22,62,23,63,24,63,25,63,26,63,27,,,,,,,,,,
Angel Di Maria,Á. Di María,183898,"['LW', 'LM', 'RW', 'CAM']",Argentina,Real Madrid CF,89,82,22,84,23,86,24,86,25,86,26,85,27,87,28,85,29,84,30,86,31,87,32,87,33
Andres Guardado,A. Guardado,171897,"['LW', 'LM', 'CAM', 'RW']",Mexico,Deportivo de La Coruña,89,81,23,77,24,82,25,81,26,77,27,80,28,82,29,80,30,82,31,81,32,78,33,78,34
Arda Turan,A. Turan,143745,"['LW', 'LM', 'CAM', 'RM']",Turkey,Galatasaray SK,89,82,23,83,24,84,25,84,26,84,27,83,28,84,29,82,30,78,31,76,32,74,33,71,34
Luis Carlos Almeida Da Cunha,Nani,139068,"['LW', 'RW', 'LM', 'RM']",Portugal,Manchester United,89,83,23,85,24,85,25,83,26,81,27,82,28,83,29,83,30,80,31,80,32,80,33,81,34
Romelu Lukaku,R. Lukaku,192505,['ST'],Belgium,RSC Anderlecht,88,74,17,78,18,74,19,77,20,80,21,80,22,84,23,86,24,87,25,85,26,85,27,88,28
Javier Pastore,J. Pastore,191180,"['CAM', 'CF', 'LF', 'RF']",Argentina,Argentina,88,80,21,83,22,83,23,79,24,79,25,84,26,85,27,83,28,82,29,79,30,77,31,78,32
Neymar Da Silva Santos Junior,Neymar,190871,"['ST', 'LF', 'RF', 'CF']",Brazil,Santos,88,78,18,84,19,85,20,84,21,86,22,88,23,92,24,92,25,92,26,92,27,91,28,91,29
Christian Eriksen,C. Eriksen,190460,"['CAM', 'CM', 'LW']",Denmark,Ajax,88,71,18,80,19,80,20,82,21,83,22,83,23,84,24,87,25,88,26,88,27,85,28,82,29
Sergio Canales Madrazo,Sergio Canales,190286,"['CAM', 'CM', 'LM', 'CF']",Spain,Real Madrid CF,88,76,19,77,20,78,21,77,22,77,23,79,24,79,25,79,26,79,27,84,28,82,29,83,30
Jack Wilshere,J. Wilshere,189461,"['CAM', 'CM', 'LM', 'RM']",England,Arsenal,88,75,18,82,19,82,20,82,21,81,22,81,23,82,24,81,25,80,26,79,27,76,28,,
Federico Macheda,F. Macheda,186140,"['ST', 'CF', 'LW']",Italy,Manchester United,88,74,18,73,19,72,20,70,21,69,22,70,23,70,24,71,25,,,73,27,72,28,72,29
Kieran Gibbs,K. Gibbs,186115,"['LWB', 'LB', 'LM', 'CM']",England,Arsenal,88,76,20,75,21,76,22,78,23,78,24,80,25,80,26,78,27,77,28,75,29,75,30,72,31
Mamadou Sakho,M. Sakho,183285,['CB'],France,Paris Saint-Germain,88,76,20,81,21,80,22,81,23,81,24,81,25,82,26,81,27,80,28,79,29,76,30,75,31
Toni Kroos,T. Kroos,182521,"['CAM', 'LM', 'RM', 'CM']",Germany,FC Bayern München,88,80,20,81,21,84,22,84,23,85,24,87,25,88,26,90,27,90,28,88,29,88,30,88,31
Andrea Ranocchia,A. Ranocchia,182168,"['CB', 'SW']",Italy,Genoa,88,78,22,80,23,79,24,79,25,77,26,78,27,76,28,76,29,76,30,75,31,74,32,74,33
Miralem Pjanic,M. Pjanic,180206,"['CAM', 'LM', 'CM']",Bosnia and Herzegovina,Olympique Lyonnais,88,79,20,79,21,77,22,78,23,83,24,84,25,85,26,85,27,86,28,86,29,85,30,82,31
David Luiz Moreira Marinho,David Luiz,179944,"['CB', 'LB']",Brazil,SL Benfica,88,81,23,82,24,79,25,82,26,82,27,83,28,84,29,86,30,83,31,83,32,80,33,,
Mats Hummels,M. Hummels,178603,"['CB', 'CDM', 'RB']",Germany,Borussia Dortmund,88,79,21,84,22,85,23,85,24,86,25,86,26,87,27,88,28,89,29,87,30,86,31,86,32
