Player name,Known as,player_id,position,nationality,team,Fifa 13 Potential rating,Fifa 13 overall_rating,Fifa 13 age,Fifa 14 overall_rating,Fifa 14 age,Fifa 15 overall_rating,Fifa 15 age,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Eden Hazard,E. Hazard,183277,"['LW', 'RW', 'CF', 'LM']",Belgium,Chelsea,92,87,21,85,22,88,23,89,24,88,25,90,26,91,27,91,28,88,29,85,30
Mario Gotze,M. Götze,192318,"['CAM', 'LM', 'RM', 'CM']",Germany,Borussia Dortmund,91,84,20,85,21,85,22,84,23,84,24,81,25,82,26,82,27,,,82,29
Neymar Da Silva Santos Jr,Neymar,190871,"['LW', 'CF', 'ST']",Brazil,Santos,91,85,20,84,21,86,22,88,23,92,24,92,25,92,26,92,27,91,28,91,29
Lucas Rodrigues M Silva,Lucas,200949,"['CAM', 'RW', 'CF']",Brazil,São Paulo,90,82,19,82,20,82,21,82,22,82,23,82,24,82,25,83,26,83,27,81,28
Jack Wilshere,J. Wilshere,189461,"['CM', 'CDM', 'CAM']",England,Arsenal,90,82,20,82,21,81,22,81,23,82,24,81,25,80,26,79,27,76,28,,
Stevan Jovetic,S. Jovetić,181820,"['ST', 'CF', 'CAM']",Montenegro,Fiorentina,90,83,22,84,23,81,24,81,25,81,26,81,27,80,28,78,29,77,30,77,31
Alexandre Rodrigues Da Silva,Alexandre Pato,180175,"['ST', 'CF']",Brazil,AC Milan,90,83,22,80,23,,,,,80,26,,,80,28,,,,,75,31
Gareth Bale,G. Bale,173731,"['LM', 'LB']",Wales,Tottenham Hotspur,90,85,22,87,23,87,24,87,25,90,26,89,27,88,28,85,29,83,30,82,31
James Rodriguez,J. Rodríguez,198710,"['LW', 'CAM', 'RW', 'LM']",Colombia,FC Porto,89,83,20,83,21,86,22,87,23,87,24,86,25,88,26,85,27,82,28,81,29
Marc Andre Ter Stegen,M. ter Stegen,192448,['GK'],Germany,Borussia Mönchengladbach,89,80,20,80,21,82,22,82,23,83,24,85,25,89,26,90,27,90,28,90,29
Stephan El Shaarawy,S. El Shaarawy,190813,"['CF', 'LW', 'CAM', 'LM']",Italy,AC Milan,89,76,19,81,20,80,21,80,22,81,23,80,24,81,25,82,26,79,27,79,28
Sergio Busquets Burgos,Sergio Busquets,189511,"['CDM', 'CM']",Spain,FC Barcelona,89,85,23,85,24,85,25,86,26,87,27,86,28,88,29,89,30,87,31,86,32
Alberto Masi,A. Masi,209636,['CB'],Italy,FC Pro Vercelli 1892,88,71,19,66,20,65,21,68,22,68,23,67,24,66,25,65,26,,,,
Gabriel Appelt Pires,Gabriel,208141,"['CDM', 'CM']",Brazil,FC Pro Vercelli 1892,88,66,18,64,19,62,20,68,21,76,22,75,23,76,24,80,25,79,26,76,27
Matija Nastasic,M. Nastasić,205362,"['CB', 'LB']",Serbia,Manchester City,88,75,19,77,20,77,21,79,22,80,23,80,24,81,25,80,26,77,27,74,28
Gaston Ramirez,G. Ramirez,201508,"['CF', 'CAM', 'ST', 'RW']",Uruguay,Southampton,88,78,21,80,22,78,23,78,24,78,25,78,26,79,27,78,28,77,29,77,30
Nicola Leali,N. Leali,201299,['GK'],Italy,SS Virtus Lanciano,88,71,19,72,20,71,21,72,22,73,23,71,24,70,25,70,26,,,,
Alexander Merkel,A. Merkel,200700,"['CAM', 'LM', 'RM', 'CM']",Germany,Genoa,88,75,20,74,21,69,22,68,23,69,24,68,25,68,26,69,27,,,68,29
Juan Manuel Iturbe,J. Iturbe,199151,"['RW', 'LW', 'CAM']",Argentina,FC Porto,88,74,19,74,20,77,21,77,22,77,23,76,24,76,25,72,26,72,27,,
Luis Muriel,L. Muriel,199110,"['ST', 'CF']",Colombia,Udinese Calcio,88,78,21,80,22,73,23,74,24,76,25,80,26,79,27,80,28,79,29,82,30
Rodrigo Moreno Machado,Rodrigo,198329,"['ST', 'CF', 'RM', 'LM']",Spain,SL Benfica,88,78,21,77,22,80,23,79,24,78,25,78,26,84,27,83,28,82,29,79,30
Paul Pogba,P. Pogba,195864,"['CDM', 'CM']",France,Juventus,88,72,19,79,20,83,21,86,22,88,23,87,24,88,25,88,26,86,27,87,28
Mattia Destro,M. Destro,193338,"['ST', 'CF', 'LW', 'RW']",Italy,Roma,88,78,21,76,22,77,23,78,24,78,25,76,26,76,27,75,28,71,29,74,30
Christian Eriksen,C. Eriksen,190460,"['CAM', 'CM']",Denmark,Ajax,88,80,20,82,21,83,22,83,23,84,24,87,25,88,26,88,27,85,28,82,29
Oscar Dos Santos Emboaba,Oscar,188152,"['CAM', 'CF']",Brazil,Chelsea,88,80,20,82,21,84,22,84,23,83,24,83,25,82,26,83,27,83,28,82,29
Mario Balotelli,M. Balotelli,186627,"['ST', 'CF']",Italy,Manchester City,88,84,21,84,22,82,23,80,24,79,25,82,26,83,27,82,28,79,29,76,30
Alexis Sanchez,A. Sánchez,184941,"['RW', 'LW', 'CF', 'CAM']",Chile,FC Barcelona,88,85,23,82,24,84,25,86,26,87,27,89,28,87,29,82,30,80,31,80,32
Mats Hummels,M. Hummels,178603,"['CB', 'CDM']",Germany,Borussia Dortmund,88,85,23,85,24,86,25,86,26,87,27,88,28,89,29,87,30,86,31,86,32
Mesut Ozil,M. Özil,176635,"['CAM', 'LM', 'RM', 'CM']",Germany,Real Madrid CF,88,87,23,87,24,86,25,87,26,89,27,88,28,86,29,84,30,82,31,80,32
Adryan Oliveira Tavares,Adryan,205008,"['CAM', 'CF', 'LW']",Brazil,Flamengo,87,73,17,70,18,70,19,71,20,,,71,22,71,23,71,24,,,68,26
Victor Ibarbo,V. Ibarbo,204550,"['CF', 'ST', 'LW', 'CAM']",Colombia,Cagliari,87,76,22,77,23,75,24,78,25,75,26,72,27,72,28,67,29,,,,
Viktor Fischer,V. Fischer,203965,"['LW', 'CAM']",Denmark,Ajax,87,67,18,74,19,75,20,77,21,74,22,75,23,76,24,78,25,74,26,70,27
Ouasim Bouy,O. Bouy,203399,"['CAM', 'CM']",Netherlands,Brescia,87,67,19,,,60,21,,,,,68,24,,,,,61,27,,
Ola John,O. John,202101,"['LM', 'LW', 'RW', 'RM']",Netherlands,SL Benfica,87,76,20,77,21,74,22,75,23,74,24,,,72,26,73,27,71,28,71,29
Adam Maher,A. Maher,200223,"['CAM', 'CM']",Netherlands,AZ Alkmaar,87,76,18,78,19,75,20,76,21,74,22,74,23,,,76,25,75,26,75,27
Kevin De Bruyne,K. De Bruyne,192985,"['CAM', 'LM', 'CM', 'RM']",Belgium,SV Werder Bremen,87,78,21,80,22,81,23,86,24,88,25,89,26,91,27,91,28,91,29,91,30
Ezequiel Schelotto,E. Schelotto,192838,"['RM', 'RB', 'RW', 'LM']",Italy,Atalanta,87,77,23,70,24,73,25,72,26,77,27,75,28,74,29,73,30,,,70,32
Thibaut Courtois,T. Courtois,192119,['GK'],Belgium,Atlético de Madrid,87,79,20,84,21,86,22,86,23,89,24,89,25,90,26,88,27,89,28,89,29
Javier Pastore,J. Pastore,191180,"['CAM', 'CF']",Argentina,Paris Saint-Germain,87,83,23,79,24,79,25,84,26,85,27,83,28,82,29,79,30,77,31,78,32
Philippe Coutinho Correia,Coutinho,189242,"['CAM', 'LM', 'RM', 'CF']",Brazil,Inter,87,78,20,80,21,81,22,84,23,85,24,86,25,88,26,86,27,83,28,82,29
Axel Witsel,A. Witsel,177413,"['CM', 'CAM', 'CDM', 'RM']",Belgium,SL Benfica,87,81,23,80,24,80,25,81,26,82,27,82,28,82,29,85,30,84,31,83,32
Nuri Sahin,N. Şahin,170797,"['CM', 'CDM']",Turkey,Liverpool,87,82,23,82,24,81,25,81,26,80,27,79,28,79,29,78,30,,,74,32
Bernard Anicio Caldeira Duarte,Bernard,205525,"['CAM', 'LM', 'RM', 'CF']",Brazil,Clube Atlético Mineiro,86,77,19,80,20,80,21,78,22,79,23,79,24,,,80,26,78,27,,
Sadio Diallo,S. Diallo,204171,"['CF', 'CAM', 'RW']",Guinea,Stade Rennais FC,86,74,21,72,22,71,23,72,24,73,25,71,26,70,27,70,28,,,,
Afriyie Acquah,A. Acquah,201223,"['CM', 'CDM']",Ghana,Parma,86,73,20,72,21,71,22,74,23,74,24,74,25,73,26,,,72,28,72,29
Carlos Henrique Casimiro,Casemiro,200145,"['CDM', 'CM']",Brazil,São Paulo,86,72,20,77,21,76,22,77,23,82,24,85,25,88,26,87,27,89,28,89,29
Francesco Acerbi,F. Acerbi,199845,"['CB', 'LB']",Italy,AC Milan,86,78,23,74,24,73,25,75,26,81,27,82,29,82,30,83,31,83,32,83,33
Marco Verratti,M. Verratti,199556,"['CM', 'CDM']",Italy,Paris Saint-Germain,86,74,19,77,20,80,21,84,22,85,23,87,24,86,25,86,26,86,27,87,28
Lacina Traore,L. Traoré,199074,['ST'],Côte d'Ivoire,FC Anzhi Makhachkala,86,78,21,78,22,78,24,75,25,75,26,74,27,,,70,29,,,,
Manolo Gabbiadini,M. Gabbiadini,198683,"['ST', 'CF', 'LW', 'RW']",Italy,Bologna,86,73,20,75,21,75,22,78,23,81,24,79,25,77,26,76,27,75,28,75,29
Zakaria Labyad,Z. Labyad,198640,"['RW', 'LW', 'CAM']",Morocco,Sporting CP,86,76,19,75,20,74,21,75,22,74,23,75,24,77,25,75,26,75,27,75,28
Leandro Damiao Da Silva Dos Santos,Leandro Damião,198213,['ST'],Brazil,Internacional,86,80,22,79,23,,,,,,,,,,,74,29,73,30,74,31
Alen Stevanovic,A. Stevanovic,197925,"['RM', 'LM', 'RW', 'LW']",Serbia,Torino F.C.,86,74,21,73,22,70,23,72,24,,,,,70,27,70,28,,,,
Luca Marrone,L. Marrone,194753,"['CDM', 'CM', 'CB']",Italy,Juventus,86,73,22,70,23,70,24,72,25,74,26,73,27,73,28,71,29,70,30,70,31
Zhano Ananidze,Z. Ananidze,193897,"['CAM', 'CM', 'RM', 'RW']",Georgia,Spartak Moskva,86,75,19,73,20,75,21,74,22,74,23,75,24,75,25,74,26,,,,
Younes Belhanda,Y. Belhanda,193738,"['CAM', 'CM', 'LM']",Morocco,Montpellier Hérault SC,86,82,22,,,,,,,,,81,27,80,28,80,29,78,30,75,31
Xherdan Shaqiri,X. Shaqiri,193348,"['RM', 'LM', 'CF']",Switzerland,FC Bayern München,86,78,20,80,21,80,22,80,23,82,24,82,25,81,26,82,27,81,28,79,29
Romelu Lukaku,R. Lukaku,192505,['ST'],Belgium,West Bromwich Albion,86,74,19,77,20,80,21,80,22,84,23,86,24,87,25,85,26,85,27,88,28
Luuk De Jong,L. de Jong,189805,"['ST', 'CAM', 'RW']",Netherlands,Borussia Mönchengladbach,86,79,21,78,22,75,23,79,24,79,25,76,26,78,27,82,28,80,29,79,30
Thomas Muller,T. Müller,189596,"['CAM', 'RM', 'CF', 'ST']",Germany,FC Bayern München,86,84,22,85,23,86,24,86,25,87,26,86,27,86,28,86,29,86,30,87,31
Thiago Alcantara,Thiago,189509,"['CAM', 'CM']",Spain,FC Barcelona,86,79,21,81,22,81,23,83,24,84,25,88,26,86,27,87,28,85,29,86,30
Shinji Kagawa,S. Kagawa,189358,"['CAM', 'CF']",Japan,Manchester United,86,83,23,83,24,81,25,82,26,83,27,83,28,83,29,79,30,76,31,74,32
Robert Lewandowski,R. Lewandowski,188545,"['ST', 'CF']",Poland,Borussia Dortmund,86,83,23,86,24,87,25,87,26,90,27,91,28,90,29,89,30,91,31,92,32
Marco Reus,M. Reus,188350,"['CF', 'RM', 'ST']",Germany,Borussia Dortmund,86,84,23,85,24,86,25,86,26,88,27,86,28,85,29,88,30,85,31,85,32
