Player name,Known as,player_id,position,nationality,team,Fifa 14 Potential rating,Fifa 14 overall_rating,Fifa 14 age,Fifa 15 overall_rating,Fifa 15 age,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Mario Götze,M. Götze,192318,"['CAM', 'CF', 'RM', 'LM']",Germany,FC Bayern München,92,85,21,85,22,84,23,84,24,81,25,82,26,82,27,,,82,29
Neymar da Silva Santos Júnior,Neymar,190871,"['ST', 'LW', 'CF']",Brazil,FC Barcelona,91,84,21,86,22,88,23,92,24,92,25,92,26,92,27,91,28,91,29
Gareth Frank Bale,G. Bale,173731,"['CF', 'LM']",Wales,Tottenham Hotspur,91,87,23,87,24,87,25,90,26,89,27,88,28,85,29,83,30,82,31
Zakaria Bakkali,Z. Bakkali,208790,"['RW', 'LW']",Belgium,PSV,90,73,17,71,18,73,19,74,20,72,21,70,22,,,69,24,,
Lucas Rodrigues Moura da Silva,Lucas,200949,"['RM', 'RW']",Brazil,Paris Saint-Germain,90,82,20,82,21,82,22,82,23,82,24,82,25,83,26,83,27,81,28
Mario Barwuah Balotelli,M. Balotelli,186627,['ST'],Italy,AC Milan,90,84,22,82,23,80,24,79,25,82,26,83,27,82,28,79,29,76,30
Eden Michael Hazard,E. Hazard,183277,"['LM', 'RM']",Belgium,Chelsea,90,85,22,88,23,89,24,88,25,90,26,91,27,91,28,88,29,85,30
Stevan Jovetić,S. Jovetić,181820,"['ST', 'CF']",Montenegro,Manchester City,90,84,23,81,24,81,25,81,26,81,27,80,28,78,29,77,30,77,31
Marcos Aoás Corrêa,Marquinhos,207865,"['CB', 'RB']",Brazil,Paris Saint-Germain,89,78,19,77,20,81,21,82,22,83,23,84,24,86,25,85,26,87,27
James David Rodríguez Rubio,J. Rodríguez,198710,"['RW', 'CAM']",Colombia,AS Monaco,89,83,21,86,22,87,23,87,24,86,25,88,26,85,27,82,28,81,29
Francisco Román Alarcón Suárez,Isco,197781,"['CAM', 'LM', 'CF']",Spain,Real Madrid CF,89,84,21,83,22,84,23,84,24,86,25,89,26,86,27,84,28,82,29
Jack Wilshere,J. Wilshere,189461,"['CM', 'CDM', 'CAM']",England,Arsenal,89,82,21,81,22,81,23,82,24,81,25,80,26,79,27,76,28,,
Armindo Tué Na Bangna,Bruma,211368,"['LW', 'RW']",Portugal,Sporting CP,88,75,18,76,19,76,20,77,21,81,22,79,23,78,24,76,25,76,26
Raphaël Varane,R. Varane,201535,"['CB', 'CDM']",France,Real Madrid CF,88,81,20,81,21,82,22,84,23,85,24,86,25,85,26,86,27,86,28
Marco Verratti,M. Verratti,199556,"['CDM', 'CM']",Italy,Paris Saint-Germain,88,77,20,80,21,84,22,85,23,87,24,86,25,86,26,86,27,87,28
Thibaut Nicolas Marc Courtois,T. Courtois,192119,['GK'],Belgium,Atlético de Madrid,88,84,21,86,22,86,23,89,24,89,25,90,26,88,27,89,28,89,29
