Player name,Known as,player_id,position,nationality,team,Fifa 15 Potential rating,Fifa 15 overall_rating,Fifa 15 age,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
James Rodriguez,J. Rodríguez,198710,"['CAM', 'RW']",Colombia,Real Madrid CF,92,86,22,87,23,87,24,86,25,88,26,85,27,82,28,81,29
Mario Gotze,M. Götze,192318,"['CAM', 'CF', 'CM', 'RM']",Germany,FC Bayern München,91,85,22,84,23,84,24,81,25,82,26,82,27,,,82,29
Neymar Da Silva Santos Jr,Neymar,190871,['LW'],Brazil,FC Barcelona,91,86,22,88,23,92,24,92,25,92,26,92,27,91,28,91,29
Thibaut Courtois,T. Courtois,192119,['GK'],Belgium,Chelsea,90,86,22,86,23,89,24,89,25,90,26,88,27,89,28,89,29
Eden Hazard,E. Hazard,183277,"['LM', 'RM']",Belgium,Chelsea,90,88,23,89,24,88,25,90,26,91,27,91,28,88,29,85,30
Paul Pogba,P. Pogba,195864,['CM'],France,Juventus,89,83,21,86,22,88,23,87,24,88,25,88,26,86,27,87,28
Youri Tielemans,Y. Tielemans,216393,['CM'],Belgium,RSC Anderlecht,88,73,17,76,18,77,19,80,20,79,21,80,22,81,23,84,24
Aymeric Laporte,A. Laporte,212218,"['CB', 'LB']",France,Athletic Club de Bilbao,88,81,20,83,21,84,22,84,23,83,24,87,25,87,26,86,27
Memphis Depay,M. Depay,202556,['LW'],Netherlands,PSV,88,78,20,81,21,80,22,80,23,83,24,84,25,85,26,85,27
Raphael Varane,R. Varane,201535,['CB'],France,Real Madrid CF,88,81,21,82,22,84,23,85,24,86,25,85,26,86,27,86,28
Juan Manuel Iturbe,J. Iturbe,199151,['RW'],Argentina,Roma,88,77,21,77,22,77,23,76,24,76,25,72,26,72,27,,
Francisco Roman Alarcon Suarez,Isco,197781,"['CAM', 'CM', 'LM', 'CDM']",Spain,Real Madrid CF,88,83,22,84,23,84,24,86,25,89,26,86,27,84,28,82,29
Antoine Griezmann,A. Griezmann,194765,"['LW', 'LM']",France,Atlético de Madrid,88,82,23,83,24,88,25,88,26,89,27,89,28,87,29,85,30
Marc Andre Ter Stegen,M. ter Stegen,192448,['GK'],Germany,FC Barcelona,88,82,22,82,23,83,24,85,25,89,26,90,27,90,28,90,29
Christian Eriksen,C. Eriksen,190460,"['LM', 'CAM']",Denmark,Tottenham Hotspur,88,83,22,83,23,84,24,87,25,88,26,88,27,85,28,82,29
Simone Scuffet,S. Scuffet,220048,['GK'],Italy,Udinese Calcio,87,71,18,72,19,74,20,75,21,72,22,72,23,72,24,72,25
Maximilian Meyer,M. Meyer,212150,"['CAM', 'LM']",Germany,FC Schalke 04,87,75,18,78,19,80,20,79,21,79,22,78,23,76,24,72,25
Lazar Markovic,L. Marković,212125,"['RM', 'LM']",Serbia,Liverpool,87,78,20,77,21,78,22,76,23,75,24,,,,,,
