Player name,Known as,player_id,position,nationality,team,Fifa 16 Potential rating,Fifa 16 overall_rating,Fifa 16 age,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
James Rodriguez,J. Rodríguez,198710,"['CAM', 'CM', 'RM']",Colombia,Real Madrid CF,93,87,23,87,24,86,25,88,26,85,27,82,28,81,29
Paul Pogba,P. Pogba,195864,['CM'],France,Juventus,93,86,22,88,23,87,24,88,25,88,26,86,27,87,28
Neymar Da Silva Santos Jr,Neymar,190871,['LW'],Brazil,FC Barcelona,93,88,23,92,24,92,25,92,26,92,27,91,28,91,29
Youri Tielemans,Y. Tielemans,216393,"['CM', 'CAM']",Belgium,RSC Anderlecht,90,76,18,77,19,80,20,79,21,80,22,81,23,84,24
Thibaut Courtois,T. Courtois,192119,['GK'],Belgium,Chelsea,90,86,23,89,24,89,25,90,26,88,27,89,28,89,29
Memphis Depay,M. Depay,202556,"['LW', 'CAM']",Netherlands,Manchester United,89,81,21,80,22,80,23,83,24,84,25,85,26,85,27
Raphael Varane,R. Varane,201535,['CB'],France,Real Madrid CF,89,82,22,84,23,85,24,86,25,85,26,86,27,86,28
Marco Verratti,M. Verratti,199556,"['CM', 'CDM']",Italy,Paris Saint-Germain,89,84,22,85,23,87,24,86,25,86,26,86,27,87,28
Francisco Roman Alarcon Suarez,Isco,197781,"['CAM', 'CM', 'LM']",Spain,Real Madrid CF,89,84,23,84,24,86,25,89,26,86,27,84,28,82,29
Goncalo Manuel Ganchinho Guedes,Gonçalo Guedes,224411,"['LM', 'RM']",Portugal,SL Benfica,88,70,18,74,19,74,20,82,21,83,22,81,23,81,24
Breel Donald Embolo,B. Embolo,222357,"['ST', 'CF', 'RW']",Switzerland,FC Basel 1893,88,76,18,76,19,76,20,76,21,76,22,78,23,77,24
Riechedly Bazoer,R. Bazoer,212269,['CM'],Netherlands,Ajax,88,75,18,77,19,75,20,74,21,73,22,72,23,76,24
Julian Brandt,J. Brandt,212194,"['LM', 'RM', 'CAM']",Germany,Bayer 04 Leverkusen,88,74,19,79,20,80,21,82,22,84,23,84,24,81,25
Niklas Sule,N. Süle,212190,['CB'],Germany,TSG Hoffenheim,88,78,19,81,20,83,21,84,22,85,23,84,24,82,25
Maximilian Meyer,M. Meyer,212150,"['CAM', 'CM']",Germany,FC Schalke 04,88,78,19,80,20,79,21,79,22,78,23,76,24,72,25
Daniele Rugani,D. Rugani,211320,['CB'],Italy,Juventus,88,78,20,79,21,80,22,82,23,82,24,80,25,77,26
Paulo Dybala,P. Dybala,211110,['ST'],Argentina,Juventus,88,78,21,85,22,88,23,89,24,88,25,88,26,87,27
William Silva De Carvalho,William Carvalho,207566,"['CDM', 'CM']",Portugal,Sporting CP,88,81,23,84,24,83,25,84,26,83,27,80,28,78,29
Luke Shaw,L. Shaw,205988,['LB'],England,Manchester United,88,77,19,80,20,79,21,78,22,81,23,81,24,84,25
Raheem Sterling,R. Sterling,202652,"['LM', 'ST', 'RM']",England,Manchester City,88,82,20,82,21,82,22,85,23,88,24,88,25,88,26
Layvin Kurzawa,L. Kurzawa,201510,['LB'],France,Paris Saint-Germain,88,80,22,81,23,80,24,79,25,77,26,77,27,76,28
Alvaro Borja Morata Martin,Morata,201153,['ST'],Spain,Juventus,88,81,22,82,23,84,24,83,25,83,26,82,27,83,28
Francisco Alcacer Garcia,Paco Alcácer,200454,"['ST', 'CF']",Spain,Valencia CF,88,80,21,81,22,79,23,79,24,83,25,81,26,81,27
Mattia Perin,M. Perin,198009,['GK'],Italy,Genoa,88,81,22,83,23,83,24,84,25,82,26,82,27,80,28
David Alaba,D. Alaba,197445,"['LB', 'CM', 'CB', 'CDM']",Austria,FC Bayern München,88,85,23,87,24,86,25,85,26,85,27,84,28,84,29
Bernd Leno,B. Leno,192563,['GK'],Germany,Bayer 04 Leverkusen,88,84,23,86,24,85,25,84,26,84,27,85,28,83,29
Marc Andre Ter Stegen,M. ter Stegen,192448,['GK'],Germany,FC Barcelona,88,82,23,83,24,85,25,89,26,90,27,90,28,90,29
