Player name,Known as,player_id,position,nationality,team,Fifa 17 Potential rating,Fifa 17 overall_rating,Fifa 17 age,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Paul Pogba,P. Pogba,195864,"['CM', 'CDM', 'CAM']",France,Manchester United,94,88,23,87,24,88,25,88,26,86,27,87,28
Paulo Bruno Exequiel Dybala,P. Dybala,211110,"['ST', 'CF']",Argentina,Juventus,92,85,22,88,23,89,24,88,25,88,26,87,27
Raphaël Varane,R. Varane,201535,['CB'],France,Real Madrid CF,91,84,23,85,24,86,25,85,26,86,27,86,28
Jan Oblak,J. Oblak,200389,['GK'],Slovenia,Atlético de Madrid,91,87,23,88,24,90,25,91,26,91,27,91,28
Ousmane Dembélé,O. Dembélé,231443,"['RM', 'LM', 'CAM']",France,Borussia Dortmund,90,77,19,83,20,82,21,84,22,83,23,83,24
Renato Júnior Luz Sanches,Renato Sanches,230767,['CM'],Portugal,FC Bayern München,90,78,18,76,19,75,20,75,21,78,22,80,23
Eric Bertrand Bailly,E. Bailly,225508,['CB'],Côte d'Ivoire,Manchester United,90,82,22,84,23,83,24,80,25,79,26,79,27
André Filipe Tavares Gomes,André Gomes,211575,"['CM', 'LM', 'CAM', 'CDM']",Portugal,FC Barcelona,90,84,22,82,23,80,24,80,25,79,26,77,27
Anthony Martial,A. Martial,211300,"['LM', 'ST']",France,Manchester United,90,82,20,82,21,83,22,83,23,84,24,81,25
Bamidele Alli,D. Alli,211117,"['CAM', 'CDM', 'LM']",England,Tottenham Hotspur,90,80,20,84,21,84,22,84,23,83,24,80,25
Harry Kane,H. Kane,202126,['ST'],England,Tottenham Hotspur,90,84,22,86,23,89,24,89,25,88,26,90,27
Marco Verratti,M. Verratti,199556,"['CM', 'CDM']",Italy,Paris Saint-Germain,90,85,23,87,24,86,25,86,26,86,27,87,28
Romelu Lukaku Menama,R. Lukaku,192505,['ST'],Belgium,Everton,90,84,23,86,24,87,25,85,26,85,27,88,28
Marco Asensio Willemsen,Marco Asensio,220834,"['CAM', 'LM', 'RM']",Spain,Real Madrid CF,89,81,20,84,21,85,22,83,23,82,24,83,25
Youri Tielemans,Y. Tielemans,216393,"['CM', 'CAM']",Belgium,RSC Anderlecht,89,77,19,80,20,79,21,80,22,81,23,84,24
Alen Halilović,A. Halilović,216349,"['CAM', 'RM']",Croatia,Hamburger SV,89,79,20,77,21,76,22,72,23,71,24,69,25
Kurt Happy Zouma,K. Zouma,204311,['CB'],France,Chelsea,89,80,21,79,22,78,23,80,24,80,25,81,26
Jack Butland,J. Butland,203042,['GK'],England,Stoke City,89,82,23,81,24,81,25,78,26,74,27,73,28
Layvin Kurzawa,L. Kurzawa,201510,['LB'],France,Paris Saint-Germain,89,81,23,80,24,79,25,77,26,77,27,76,28
Ross Barkley,R. Barkley,199189,['CAM'],England,Everton,89,81,22,81,23,79,24,79,25,78,26,78,27
Alphonse Areola,A. Areola,193105,['GK'],France,Paris Saint-Germain,89,81,23,79,24,81,25,82,26,82,27,82,28
Marcus Rashford,M. Rashford,231677,['ST'],England,Manchester United,88,76,18,79,19,81,20,83,21,85,22,85,23
Gianluigi Donnarumma,G. Donnarumma,230621,['GK'],Italy,AC Milan,88,76,17,82,18,82,19,85,20,85,21,89,22
Mauricio Lemos Merladet,M. Lemos,229270,['CB'],Uruguay,Unión Deportiva Las Palmas,88,80,20,77,21,75,22,70,23,69,24,67,25
Kelechi Promise Iheanacho,K. Iheanacho,225719,['ST'],Nigeria,Manchester City,88,74,19,75,20,75,21,73,22,74,23,78,24
Leroy Aziz Sané,L. Sané,222492,"['RM', 'LM', 'ST']",Germany,Manchester City,88,79,20,82,21,86,22,86,23,85,24,84,25
Breel-Donald Embolo,B. Embolo,222357,"['RM', 'ST']",Switzerland,FC Schalke 04,88,76,19,76,20,76,21,76,22,78,23,77,24
Arnaldo Antonio Sanabria Ayala,A. Sanabria,219932,"['ST', 'LM']",Paraguay,Real Betis Balompié,88,78,20,78,21,79,22,77,23,74,24,74,25
Bernardo Mota Veiga de Carvalho e Silva,Bernardo Silva,218667,"['RM', 'CAM', 'CM']",Portugal,AS Monaco,88,81,21,84,22,84,23,87,24,87,25,86,26
Mahmoud Dahoud,M. Dahoud,218339,['CM'],Germany,Borussia Mönchengladbach,88,79,20,79,21,79,22,78,23,76,24,79,25
José María Giménez de Vargas,J. Giménez,216460,['CB'],Uruguay,Atlético de Madrid,88,83,21,83,22,84,23,85,24,84,25,84,26
Ángel Martín Correa,Á. Correa,214997,"['ST', 'CAM', 'CF']",Argentina,Atlético de Madrid,88,79,21,79,22,80,23,82,24,82,25,83,26
Kingsley Junior Coman,K. Coman,213345,"['LW', 'ST', 'RW']",France,FC Bayern München,88,81,20,79,21,83,22,84,23,84,24,86,25
Jonathan Tah,J. Tah,213331,['CB'],Germany,Bayer 04 Leverkusen,88,79,20,82,21,83,22,83,23,79,24,78,25
João Mário Naval da Costa Eduardo,João Mário,212814,"['RM', 'CM']",Portugal,Sporting CP,88,83,23,83,24,81,25,81,26,80,27,80,28
Aymeric Laporte,A. Laporte,212218,['CB'],France,Athletic Club de Bilbao,88,84,22,84,23,83,24,87,25,87,26,86,27
Julian Brandt,J. Brandt,212194,"['LM', 'RM', 'CAM']",Germany,Bayer 04 Leverkusen,88,79,20,80,21,82,22,84,23,84,24,81,25
Saúl Ñíguez Esclápez,Saúl,208421,"['CM', 'RM', 'CAM', 'LM']",Spain,Atlético de Madrid,88,80,21,82,22,85,23,85,24,84,25,82,26
Yannick Ferreira Carrasco,Y. Carrasco,208418,"['LM', 'RM']",Belgium,Atlético de Madrid,88,82,22,85,23,83,24,83,25,82,26,84,27
Emre Can,E. Can,208333,"['CM', 'CDM', 'CB']",Germany,Liverpool,88,80,22,79,23,80,24,81,25,82,26,82,27
Marcos Aoás Corrêa,Marquinhos,207865,"['CB', 'RB']",Brazil,Paris Saint-Germain,88,82,22,83,23,84,24,86,25,85,26,87,27
Luke Shaw,L. Shaw,205988,['LB'],England,Manchester United,88,80,20,79,21,78,22,81,23,81,24,84,25
Charly Musonda Junior,C. Musonda,204233,"['LW', 'RW', 'CAM', 'LM']",Belgium,Real Betis Balompié,88,77,19,76,20,76,21,74,22,73,23,72,24
John Stones,J. Stones,203574,['CB'],England,Manchester City,88,78,22,79,23,82,24,83,25,80,26,83,27
Raheem Sterling,R. Sterling,202652,"['LM', 'ST']",England,Manchester City,88,82,21,82,22,85,23,88,24,88,25,88,26
Gerard Deulofeu Lázaro,Deulofeu,202477,"['RM', 'RW', 'ST']",Spain,Everton,88,81,22,82,23,81,24,80,25,80,26,79,27
