Player name,Known as,player_id,position,nationality,team,Fifa 18 Potential rating,Fifa 18 overall_rating,Fifa 18 age,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Kylian Mbappe,K. Mbappé,231747,['ST'],France,AS Monaco,94,83,18,87,19,89,20,90,21,91,22
Gianluigi Donnarumma,G. Donnarumma,230621,['GK'],Italy,AC Milan,94,82,18,82,19,85,20,85,21,89,22
Paulo Dybala,P. Dybala,211110,"['CAM', 'ST']",Argentina,Juventus,93,88,23,89,24,88,25,88,26,87,27
Gabriel Fernando De Jesus,Gabriel Jesus,230666,['ST'],Brazil,Manchester City,92,81,20,83,21,82,22,83,23,83,24
Marco Asensio Willemsen,Marco Asensio,220834,"['CAM', 'RM', 'LM', 'LW']",Spain,Real Madrid CF,92,84,21,85,22,83,23,82,24,83,25
Leroy Sane,L. Sané,222492,"['LW', 'RW', 'LM']",Germany,Manchester City,91,82,21,86,22,86,23,85,24,84,25
Bernardo Mota Carvalho E Silva,Bernardo Silva,218667,['RM'],Portugal,Manchester City,91,84,22,84,23,87,24,87,25,86,26
Thomas Lemar,T. Lemar,213565,['LM'],France,AS Monaco,91,83,21,83,22,83,23,81,24,83,25
Ezequiel Barco,E. Barco,236007,"['LM', 'CM']",Argentina,Club Atlético Independiente,90,72,18,74,19,74,20,74,21,74,22
Ousmane Dembele,O. Dembélé,231443,"['RM', 'RW', 'LM', 'CAM']",France,Borussia Dortmund,90,83,20,82,21,84,22,83,23,83,24
Youri Tielemans,Y. Tielemans,216393,"['CM', 'CAM']",Belgium,AS Monaco,90,80,20,79,21,80,22,81,23,84,24
Keita Balde Diao,K. Baldé Diao,215785,"['LW', 'RW', 'ST']",Senegal,Lazio,90,82,22,80,23,80,24,76,25,76,26
Anthony Martial,A. Martial,211300,"['LM', 'ST']",France,Manchester United,90,82,21,83,22,83,23,84,24,81,25
Dele Alli,D. Alli,211117,"['CAM', 'CF', 'LM']",England,Tottenham Hotspur,90,84,21,84,22,84,23,83,24,80,25
Andrea Belotti,A. Belotti,208596,['ST'],Italy,Torino F.C.,90,83,23,82,24,82,25,80,26,81,27
Saul Niguez Esclapez,Saúl,208421,"['CM', 'RM']",Spain,Atlético de Madrid,90,82,22,85,23,85,24,84,25,82,26
Yannick Carrasco,Y. Carrasco,208418,"['LM', 'RM']",Belgium,Atlético de Madrid,90,85,23,83,24,83,25,82,26,84,27
Harry Kane,H. Kane,202126,['ST'],England,Tottenham Hotspur,90,86,23,89,24,89,25,88,26,90,27
Matthijs De Ligt,M. de Ligt,235243,['CB'],Netherlands,Ajax,89,76,17,80,18,85,19,85,20,85,21
Alban Lafont,A. Lafont,231691,['GK'],France,Toulouse Football Club,89,77,18,77,19,79,20,78,21,78,22
Christian Pulisic,C. Pulisic,227796,"['RM', 'RW', 'LW', 'LM']",United States,Borussia Dortmund,89,78,18,79,19,79,20,81,21,82,22
Eric Bailly,E. Bailly,225508,['CB'],Côte d'Ivoire,Manchester United,89,84,23,83,24,80,25,79,26,79,27
Corentin Tolisso,C. Tolisso,219683,"['CM', 'CDM']",France,FC Bayern München,89,82,22,83,23,83,24,80,25,80,26
Andreas Christensen,A. Christensen,213661,"['CB', 'CDM']",Denmark,Chelsea,89,81,21,82,22,80,23,79,24,80,25
Aymeric Laporte,A. Laporte,212218,['CB'],France,Athletic Club de Bilbao,89,84,23,83,24,87,25,87,26,86,27
Niklas Sule,N. Süle,212190,['CB'],Germany,FC Bayern München,89,83,21,84,22,85,23,84,24,82,25
Ederson Santana De Moraes,Ederson,210257,['GK'],Brazil,Manchester City,89,83,23,86,24,88,25,88,26,89,27
Marcos Aoas Correa,Marquinhos,207865,['CB'],Brazil,Paris Saint-Germain,89,83,23,84,24,86,25,85,26,87,27
Gerard Deulofeu Lazaro,Deulofeu,202477,"['LW', 'RW']",Spain,FC Barcelona,89,82,23,81,24,80,25,80,26,79,27
Kai Havertz,K. Havertz,235790,"['RM', 'CAM', 'CF']",Germany,Bayer 04 Leverkusen,88,73,18,79,19,84,20,85,21,84,22
Malang Sarr,M. Sarr,235454,"['CB', 'LB']",France,OGC Nice,88,75,18,74,19,76,20,,,74,22
Marcus Rashford,M. Rashford,231677,"['ST', 'RM', 'LM']",England,Manchester United,88,79,19,81,20,83,21,85,22,85,23
Lautaro Martinez,L. Martínez,231478,"['ST', 'CAM', 'RM']",Argentina,Racing Club,88,72,19,79,20,81,21,84,22,85,23
Kasper Dolberg,K. Dolberg,228687,['ST'],Denmark,Ajax,88,78,19,76,20,76,21,79,22,79,23
Gelson Dany Batalha Martins,Gelson Martins,227055,"['RM', 'LM']",Portugal,Sporting CP,88,81,22,82,23,82,24,80,25,78,26
