Player name,Known as,player_id,position,nationality,team,Fifa 19 Potential rating,Fifa 19 overall_rating,Fifa 19 age,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Kylian Mbappe,K. Mbappé,231747,"['RW', 'ST']",France,Paris Saint-Germain,94,87,19,89,20,90,21,91,22
Gianluigi Donnarumma,G. Donnarumma,230621,['GK'],Italy,AC Milan,93,82,19,85,20,85,21,89,22
Leroy Sane,L. Sané,222492,"['LW', 'RW']",Germany,Manchester City,93,86,22,86,23,85,24,84,25
Marco Asensio Willemsen,Marco Asensio,220834,"['LW', 'CAM', 'RW']",Spain,Real Madrid CF,93,85,22,83,23,82,24,83,25
Vinicius Jose De Oliveira Junior,Vinícius Júnior,238794,"['LM', 'RM']",Brazil,Real Madrid CF,92,76,17,79,18,80,19,80,20
Milan Skriniar,M. Škriniar,232363,['CB'],Slovakia,Inter,92,85,23,86,24,85,25,86,26
Gabriel Fernando De Jesus,Gabriel Jesus,230666,['ST'],Brazil,Manchester City,92,83,21,82,22,83,23,83,24
Ousmane Dembele,O. Dembélé,231443,"['RW', 'RM', 'CM']",France,FC Barcelona,91,82,21,84,22,83,23,83,24
Saul Niguez Esclapez,Saúl,208421,"['CM', 'LM', 'RM']",Spain,Atlético de Madrid,91,85,23,85,24,84,25,82,26
Kepa Arrizabalaga,Kepa,206585,['GK'],Spain,Athletic Club de Bilbao,91,83,23,84,24,82,25,79,26
Matthijs De Ligt,M. de Ligt,235243,['CB'],Netherlands,Ajax,90,80,18,85,19,85,20,85,21
Marcus Rashford,M. Rashford,231677,"['LM', 'ST', 'RM']",England,Manchester United,90,81,20,83,21,85,22,85,23
Arthur Henrique Ramos Oliveira Melo,Arthur,230658,"['CM', 'CDM']",Brazil,FC Barcelona,90,82,21,84,22,84,23,83,24
Goncalo Manuel Ganchinho Guedes,Gonçalo Guedes,224411,"['LM', 'RM', 'ST']",Portugal,Paris Saint-Germain,90,82,21,83,22,81,23,81,24
Sergej Milinkovic Savic,S. Milinković-Savić,223848,"['CM', 'CAM']",Serbia,Lazio,90,85,23,85,24,85,25,85,26
Malcom Filipe Silva De Oliveira,Malcom,222737,"['RW', 'RM']",Brazil,FC Barcelona,90,83,21,,,,,,
Lucas Hernandez,L. Hernández,220814,"['LB', 'CB']",France,Atlético de Madrid,90,82,22,84,23,82,24,83,25
Bernardo Mota Carvalho E Silva,Bernardo Silva,218667,"['RW', 'CAM']",Portugal,Manchester City,90,84,23,87,24,87,25,86,26
