Player name,Known as,player_id,position,nationality,team,Fifa 20 Potential rating,Fifa 20 overall_rating,Fifa 20 age,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Kylian Mbappe,K. Mbappé,231747,"['ST', 'RW']",France,Paris Saint-Germain,95,89,20,90,21,91,22
Joao Felix Sequeira,João Félix,242444,"['CF', 'ST']",Portugal,Atlético de Madrid,93,80,19,81,20,83,21
Matthijs De Ligt,M. de Ligt,235243,['CB'],Netherlands,Juventus,93,85,19,85,20,85,21
Vinicius Jose De Oliveira Junior,Vinícius Jr.,238794,['LW'],Brazil,Real Madrid CF,92,79,18,80,19,80,20
Kai Havertz,K. Havertz,235790,"['CAM', 'RM']",Germany,Bayer 04 Leverkusen,92,84,20,85,21,84,22
Jadon Sancho,J. Sancho,233049,"['RM', 'LM']",England,Borussia Dortmund,92,84,19,87,20,87,21
Gianluigi Donnarumma,G. Donnarumma,230621,['GK'],Italy,AC Milan,92,85,20,85,21,89,22
Leroy Sane,L. Sané,222492,['LW'],Germany,Manchester City,92,86,23,85,24,84,25
Frenkie De Jong,F. de Jong,228702,"['CM', 'CDM']",Netherlands,FC Barcelona,91,85,22,85,23,87,24
Phil Foden,P. Foden,237692,"['CAM', 'CM']",England,Manchester City,90,76,19,79,20,84,21
Rodrigo Hernandez Cascante,Rodri,231866,"['CDM', 'CM']",Spain,Manchester City,90,85,23,85,24,86,25
Ousmane Dembele,O. Dembélé,231443,"['RW', 'LW']",France,FC Barcelona,90,84,22,83,23,83,24
Fabian Ruiz Pena,Fabián,226271,"['CM', 'CDM', 'CAM']",Spain,Napoli,90,83,23,82,24,82,25
Niklas Sule,N. Süle,212190,['CB'],Germany,FC Bayern München,90,85,23,84,24,82,25
Rodrygo Silva De Goes,Rodrygo,243812,"['LW', 'RW', 'ST']",Brazil,Real Madrid CF,89,76,18,79,19,79,20
Sandro Tonali,S. Tonali,241096,"['CDM', 'CM']",Italy,Brescia,89,75,19,77,20,77,21
Dominik Szoboszlai,D. Szoboszlai,236772,"['CAM', 'RM', 'CM']",Hungary,FC Red Bull Salzburg,89,74,18,75,19,77,20
Moise Kean,M. Kean,236610,['ST'],Italy,Everton,89,76,19,74,20,79,21
Tanguy Ndombele,T. Ndombele,235569,"['CM', 'CDM']",France,Tottenham Hotspur,89,81,22,80,23,82,24
Houssem Aouar,H. Aouar,234906,['CM'],France,Olympique Lyonnais,89,81,21,81,22,81,23
Lucas Tolentino Coelho De Lima,Lucas Paquetá,233927,"['CAM', 'CM']",Brazil,AC Milan,89,79,21,76,22,81,23
