Player name,Known as,player_id,position,nationality,team,Fifa 21 Potential rating,Fifa 21 overall_rating,Fifa 21 age,Fifa 22 overall_rating,Fifa 22 age
Kylian Mbappe,K. Mbappé,231747,"['ST', 'LW', 'RW']",France,Paris Saint-Germain,95,90,21,91,22
Joao Felix Sequeira,João Félix,242444,"['CF', 'ST']",Portugal,Atlético de Madrid,93,81,20,83,21
Vinicius Jose De Oliveira Junior,Vinícius Jr.,238794,['LW'],Brazil,Real Madrid CF,93,80,19,80,20
Kai Havertz,K. Havertz,235790,"['CAM', 'RM', 'CF']",Germany,Bayer 04 Leverkusen,93,85,21,84,22
Jadon Sancho,J. Sancho,233049,"['RM', 'LM', 'CAM']",England,Borussia Dortmund,93,87,20,87,21
Erling Braut Haaland,E. Haaland,239085,['ST'],Norway,Borussia Dortmund,92,84,19,88,20
Matthijs De Ligt,M. de Ligt,235243,['CB'],Netherlands,Juventus,92,85,20,85,21
Trent Alexander Arnold,T. Alexander-Arnold,231281,['RB'],England,Liverpool,92,87,21,87,22
Gianluigi Donnarumma,G. Donnarumma,230621,['GK'],Italy,AC Milan,92,85,21,89,22
Francisco Mota Castro Trincao,Trincão,244778,"['RW', 'LW', 'CAM']",Portugal,FC Barcelona,91,78,20,76,21
Sandro Tonali,S. Tonali,241096,"['CDM', 'CM']",Italy,Brescia,91,77,20,77,21
Marcus Rashford,M. Rashford,231677,"['LM', 'ST']",England,Manchester United,91,85,22,85,23
Lautaro Martinez,L. Martínez,231478,['ST'],Argentina,Inter,91,84,22,85,23
Anssumane Fati,Ansu Fati,253004,"['LW', 'RW']",Spain,FC Barcelona,90,76,17,76,18
Rodrygo Silva De Goes,Rodrygo,243812,"['RW', 'LW']",Brazil,Real Madrid CF,90,79,19,79,20
Federico Valverde,F. Valverde,239053,['CM'],Uruguay,Real Madrid CF,90,83,21,83,22
Mikel Oyarzabal Ugarte,Oyarzabal,230142,"['LW', 'RW']",Spain,Real Sociedad,90,84,23,85,24
Dayot Upamecano,D. Upamecano,229558,['CB'],France,RB Leipzig,90,79,21,82,22
Frenkie De Jong,F. de Jong,228702,['CM'],Netherlands,FC Barcelona,90,85,23,87,24
Mason Greenwood,M. Greenwood,246147,"['RM', 'ST']",England,Manchester United,89,77,18,78,19
Thiago Almada,T. Almada,245371,"['CAM', 'CM', 'LW']",Argentina,Vélez Sarsfield,89,73,19,74,20
Sergio Reguilon Rodriguez,Reguilón,245279,"['LB', 'LM']",Spain,Real Madrid CF,89,82,23,81,24
Ferran Torres Garcia,Ferrán Torres,241461,"['RM', 'LM', 'CF']",Spain,Manchester City,89,81,20,82,21
Marc Cucurella Saseta,Cucurella,239231,"['LM', 'LB']",Spain,Getafe CF,89,81,21,81,22
Takefusa Kubo,T. Kubo,237681,"['RM', 'CM', 'CAM']",Japan,Villarreal CF,89,75,19,75,20
Marcus Edwards,M. Edwards,235619,['RW'],England,Vitória de Guimarães,89,77,21,76,22
Houssem Aouar,H. Aouar,234906,"['CM', 'LM']",France,Olympique Lyonnais,89,81,22,81,23
Alphonso Davies,A. Davies,234396,"['LB', 'LM', 'RM']",Canada,FC Bayern München,89,81,19,82,20
Ousmane Dembele,O. Dembélé,231443,"['LW', 'RW']",France,FC Barcelona,89,83,23,83,24
Arthur Henrique Ramos Oliveira Melo,Arthur,230658,['CM'],Brazil,FC Barcelona,89,84,23,83,24
Martin Odegaard,M. Ødegaard,222665,"['CAM', 'CM', 'RM']",Norway,Real Madrid CF,89,83,21,82,22
Florian Wirtz,F. Wirtz,256630,"['CAM', 'RM']",Germany,Bayer 04 Leverkusen,88,68,17,78,18
Antony Matheus Dos Santos,Antony,255475,"['RW', 'LW']",Brazil,Ajax,88,78,20,79,21
Jude Bellingham,J. Bellingham,252371,"['CM', 'LM', 'RM']",England,Borussia Dortmund,88,69,17,79,18
Pedro Gonzalez Lopez,Pedri,251854,"['LM', 'CAM']",Spain,FC Barcelona,88,72,17,81,18
Rayan Cherki,R. Cherki,251570,"['CAM', 'LW', 'RW']",France,Olympique Lyonnais,88,67,16,73,17
Eduardo Camavinga,E. Camavinga,248243,['CM'],France,Stade Rennais FC,88,76,17,78,18
Edmond Tapsoba,E. Tapsoba,247263,['CB'],Burkina Faso,Bayer 04 Leverkusen,88,78,21,81,22
Emerson Leite De Souza,Emerson,247204,"['RB', 'RM', 'RWB']",Brazil,Real Betis Balompié,88,78,21,79,22
Mohamed Ihattaren,M. Ihattaren,246960,"['CAM', 'RM', 'CM']",Netherlands,PSV,88,77,18,75,19
Bukayo Saka,B. Saka,246669,"['LM', 'LWB', 'RW']",England,Arsenal,88,75,18,80,19
Agustin Urzi,A. Urzi,246469,"['LM', 'CM', 'RM']",Argentina,Club Atlético Banfield,88,73,20,72,21
Jeremy Doku,J. Doku,246420,"['RW', 'LW']",Belgium,RSC Anderlecht,88,71,18,77,19
Luis Manuel Arantes Maximiano,Luís Maximiano,244316,['GK'],Portugal,Sporting CP,88,78,21,76,22
Jonathan David,J. David,243630,"['ST', 'CF', 'CAM']",Canada,LOSC Lille,88,77,20,78,21
Ricard Puig Marti,Riqui Puig,242816,"['CM', 'CAM']",Spain,FC Barcelona,88,75,20,76,21
Moussa Diaby,M. Diaby,241852,['LM'],France,Bayer 04 Leverkusen,88,81,20,81,21
Nikola Vlasic,N. Vlašić,241095,"['CAM', 'LM']",Croatia,PFC CSKA Moscow,88,80,22,80,23
Marcus Wendel Valle Da Silva,Wendel,238359,['CM'],Brazil,Sporting CP,88,79,22,,
Phil Foden,P. Foden,237692,"['CAM', 'CM']",England,Manchester City,88,79,20,84,21
Ibrahima Konate,I. Konaté,237678,['CB'],France,RB Leipzig,88,78,21,78,22
Achraf Hakimi,A. Hakimi,235212,['RM'],Morocco,Real Madrid CF,88,83,21,85,22
Richarlison De Andrade,Richarlison,231943,"['ST', 'RM', 'LM']",Brazil,Everton,88,81,23,82,24
Aaron Wan Bissaka,A. Wan-Bissaka,229880,"['RB', 'RWB']",England,Manchester United,88,83,22,83,23
